,repo_name,counts
0,Auto_ViML,2
1,ColossalAI,36
2,CompreFace,210
3,DIGITS,2
4,DeepPavlov,2
5,Lasagne,5
6,NeuroNER,193
7,PySyft,1
8,aim,102
9,backprop,2
10,blaze,14
11,catalyst,5
12,catboost,2
13,chainer,1
14,cleanlab,5
15,cltk,9
16,cornac,458
17,cortex,9
18,couler,4
19,danswerai,3
20,deepchecks,2
21,determined,6
22,dl-translate,4
23,evidently,48
24,face_recognition,4
25,feast,51
26,frouros,1
27,gensim,1
28,gradio,11
29,hyperopt-sklearn,1
30,igel,173
31,jax,5
32,joliGEN,6
33,lightly,15
34,lightning-bolts,1
35,lightwood,9
36,litellm,5
37,matplotlib,7
38,maze,4
39,mindsdb,8
40,minigrad,26
41,miraiml,1
42,mlens,1
43,mlflow,55
44,modAL,2
45,neofuzz,1
46,nn_builder,181
47,nupic.studio,6
48,open-webui,2
49,pix2pix-keras,3
50,pomegranate,3
51,prodmodel,3
52,pytorch,9
53,pytorch-lightning,10
54,rasa,30
55,ray,283
56,rep,11
57,retro,2
58,river,11
59,scikit-learn-intelex,8
60,scikit-multiflow,6
61,scikit-survival,1
62,sinabs,13
63,skbel,19
64,skll,2
65,sktime,1
66,snips-nlu,1
67,spaCy,1
68,sparklingpandas,3
69,statsmodels,4
70,stellargraph,7
71,streamlit,1
72,suiron,4
73,superset,10
74,tensorflow,18
75,transformers,36
76,typer,1
77,upgini,1
78,zipline,43
