,repo_name,counts
0,ColossalAI,41
1,CompreFace,125
2,DI-engine,2
3,DIGITS,8
4,DeepPavlov,3
5,FEDOT,1
6,Lasagne,2
7,Neuraxle,1
8,NeuroNER,113
9,PyTorchCV,5
10,aim,28
11,backprop,6
12,bentoml,1
13,bigartm,3
14,blaze,15
15,chainer,3
16,cleanlab,2
17,cltk,6
18,cornac,263
19,cortex,16
20,danswerai,4
21,deepchecks,4
22,deeplake,1
23,detecto,2
24,determined,19
25,evidently,56
26,face_recognition,3
27,fastapi,1
28,feast,27
29,garage,2
30,gensim,5
31,gradio,15
32,igel,105
33,jax,5
34,lightly,27
35,lightwood,2
36,litellm,1
37,matplotlib,20
38,mindsdb,10
39,minigrad,16
40,mlflow,107
41,nn_builder,106
42,nupic.studio,24
43,open-metric-learning,2
44,pix2pix-keras,2
45,prodmodel,1
46,pytorch,3
47,pytorch-lightning,11
48,rasa,12
49,ray,297
50,rep,4
51,retro,6
52,river,5
53,scikit-learn-intelex,1
54,scikit-multiflow,2
55,sinabs,5
56,skbel,11
57,snips-nlu,1
58,spammy,5
59,sparklingpandas,2
60,stellargraph,25
61,suiron,2
62,superset,10
63,tensorflow,12
64,tpot,2
65,transformers,35
66,typer,1
67,zipline,41
