,repo_name,counts
0,CompreFace,1
1,DI-engine,3
2,DIGITS,14
3,PyTorchCV,2
4,aim,4
5,bokeh,3
6,caffe,1
7,catboost,43
8,cortex,1
9,couler,1
10,danswerai,5
11,deepface,1
12,deeplake,2
13,determined,9
14,evidently,1
15,face_recognition,2
16,fastapi,1
17,feast,1
18,gensim,3
19,joliGEN,6
20,langflow,2
21,lightly,7
22,litellm,120
23,mindsdb,12
24,mlflow,8
25,numpy,1
26,nut,1
27,open-webui,10
28,pattern,1
29,python-timbl,1
30,pytorch,2
31,pytorch-lightning,8
32,rasa,1
33,ray,17
34,retro,4
35,scikit-learn-intelex,2
36,shogun,1
37,streamlit,10
38,tensorflow,1
39,transformers,15
40,typer,3
41,xcessiv,4
42,xgboost,1
