,repo_name,counts
0,ColossalAI,160
1,CompreFace,240
2,DI-engine,5
3,DIGITS,3
4,DeepPavlov,18
5,FEDOT,2
6,Lasagne,10
7,LightGBM,1
8,Neural,2
9,NeuroNER,386
10,aim,119
11,alibi,5
12,alibi-detect,5
13,altair,11
14,autogluon,1
15,backprop,30
16,blaze,19
17,catalyst,1
18,catboost,1
19,chainer,3
20,chemicalx,3
21,cleanlab,13
22,cltk,12
23,cornac,471
24,cortex,75
25,couler,10
26,danswerai,109
27,dash,3
28,deepchecks,1
29,detecto,6
30,detectron2,4
31,determined,29
32,dirty_cat,4
33,dl-translate,4
34,evidently,31
35,face_recognition,18
36,fastapi,8
37,feast,64
38,garage,3
39,gensim,3
40,gradio,24
41,gym,1
42,igel,205
43,joliGEN,5
44,langflow,1
45,lightning-bolts,2
46,lightwood,34
47,litellm,1
48,matplotlib,5
49,minigrad,94
50,miraiml,2
51,mist,1
52,mlens,1
53,mlflow,99
54,mljar-supervised,1
55,modAL,2
56,neofuzz,6
57,nn_builder,547
58,nupic.studio,10
59,open-metric-learning,9
60,open-webui,130
61,optuna,12
62,pix2pix-keras,16
63,pomegranate,3
64,prodmodel,8
65,pydantic,4
66,pytorch,3
67,pytorch-lightning,5
68,pytorch_geometric,4
69,rasa,103
70,ray,360
71,rep,28
72,retro,7
73,rockpool,11
74,scikit-multiflow,6
75,seaborn,4
76,sentiment-analyzer,2
77,skbel,25
78,snips-nlu,1
79,spammy,4
80,sparklingpandas,3
81,stellargraph,25
82,suiron,8
83,superset,7
84,tensorflow,21
85,textacy,15
86,tpot,6
87,zipline,62
