,type,id,description,Unnamed: 0,cwe_counts,libraries,repos
0,base,15,External Control of System or Configuration Setting,1660,682,"aiohttp, flask, gitpython, gradio, ipython, jupyterlab, langchain-core, litestar, mlflow, oauthlib, onnx, pillow, pip, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, transformers, ujson, uv, vllm, werkzeug","aim, altair, auto_viml, autoviz, backprop, blaze, bokeh, chainer, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deeppavlov, determined, di-engine, digits, evidently, fastapi, feast, gradio, igel, langflow, lightly, lightwood, matplotlib, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, nupic.studio, open-webui, pattern, petrel, pix2pix-keras, pydantic, pysyft, pytensor, pytorch, pytorch_geometric, pytorchcv, rasa, ray, retro, spammy, stellargraph, streamlit, superset, transformers, vizdoom, zipline"
1,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),1155,49975,"aiohttp, azure-storage-blob, docling, flask, gitpython, gradio, ipython, jupyterlab, keras, langchain-core, litellm, litestar, mlflow, nbconvert, nltk, oauthlib, onnx, pillow, pip, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, transformers, ujson, unstructured, uv, vllm, werkzeug","aim, alibi-detect, altair, auto_viml, autogluon, autoviz, backprop, bentoml, bigartm, biopy, blaze, bokeh, bolt, caffe, catalyst, catboost, chainer, cleanlab, cltk, colibri-core, colossalai, compreface, corenlp, cornac, cortex, danswerai, dash, deepchecks, deepface, deeplake, deeppavlov, deeppy, detectron2, determined, di-engine, digits, dowel, drqa, dtaidistance, emcee, evidently, fastapi, feast, fedot, garage, gensim, ggpy, gradio, gymnasium, haystack, hebel, igel, jax, jieba, joligen, jprocessing, keras-tuner, lab, lambdo, langflow, langfuse, lightgbm, lightly, lightwood, loso, machine-learning, mars, matplotlib, maze, metaworld, mindsdb, minigrad, mlens, mlflow, mljar-supervised, mlx, mlxtend, nalp, neural-style-pt, neuraltalk, neuraltalk2, neuroner, neuropredict, nilearn, nn_builder, numpy, nupic.studio, nut, open-metric-learning, open-webui, optuna, parris, pattern, pebl, petrel, pgmpy, pix2pix-keras, pkuseg-python, polyglot, prodmodel, pybrain, pydantic, pymc, pynlpl, pyqtgraph, pyss3, pysyft, pytensor, python-recsys, python-timbl, pytorch, pytorch-frame, pytorch-image-models, pytorch-lightning, pytorch_geometric, pytorchcv, rasa, ray, recommenders, retinaface, retro, river, rockpool, rosetta, scikit-image, scikit-learn, scikit-learn-intelex, scikit-opt, scikit-survival, seaborn, sentiment-analyzer, shogun, skbel, skll, skorch, sktime, somoclu, spacy, spammy, spearmint, statsmodels, stellargraph, streamlit, superset, synapseml, tensorflow, tesseract, textacy, tpot, transformers, typer, vigra, vispy, vizdoom, xcessiv, xgboost, xlearn, yalign, zipline, zpar"
2,base,23,Relative Path Traversal,1701,22179,"aim, aiohttp, babel, black, docling, dulwich, flask-cors, gdown, gitpython, gradio, jupyter-server, keras, langchain, langchain-core, lightning, litellm, mako, mistune, mlflow, nbconvert, nltk, onnx, pillow, pip, pymdown-extensions, python-multipart, setuptools, starlette, unstructured, uv, werkzeug, wheel","aim, alibi-detect, altair, autogluon, bentoml, bigartm, biopy, blaze, bokeh, bolt, caffe, catalyst, catboost, chainer, cleanlab, cltk, colibri-core, colossalai, compreface, corenlp, cornac, cortex, danswerai, dash, deepchecks, deepface, deeplake, deeppavlov, deeppy, detectron2, determined, di-engine, digits, dowel, drqa, dtaidistance, emcee, evidently, face_recognition, fastapi, feast, fedot, garage, gensim, ggpy, gradio, gymnasium, haystack, hebel, igel, jax, jieba, joligen, jprocessing, keras-tuner, lab, lambdo, langflow, langfuse, lightgbm, lightly, lightwood, loso, machine-learning, mars, matplotlib, maze, metaworld, mindsdb, minigrad, mlens, mlflow, mljar-supervised, mlx, mlxtend, neural-style-pt, neuraltalk, neuraltalk2, neuroner, neuropredict, nilearn, nn_builder, numpy, nupic.studio, nut, open-metric-learning, open-webui, optuna, parris, pebl, petrel, pgmpy, pix2pix-keras, pkuseg-python, polyglot, prodmodel, pybrain, pydantic, pymc, pynlpl, pyqtgraph, pyss3, pysyft, pytensor, python-recsys, python-timbl, pytorch, pytorch-frame, pytorch-image-models, pytorch-lightning, pytorch_geometric, pytorchcv, rasa, ray, recommenders, retinaface, retro, river, rockpool, rosetta, scikit-image, scikit-learn, scikit-learn-intelex, scikit-opt, scikit-survival, seaborn, shogun, skbel, skll, skorch, sktime, somoclu, spacy, spammy, spearmint, statsmodels, stellargraph, streamlit, superset, synapseml, tensorflow, tesseract, textacy, tpot, transformers, typer, vigra, vispy, vizdoom, xcessiv, xgboost, xlearn, yalign, zipline, zpar"
3,base,36,Absolute Path Traversal,1944,22149,"aim, aiohttp, babel, black, docling, dulwich, flask-cors, gdown, gitpython, gradio, jupyter-server, keras, langchain, langchain-core, lightning, litellm, mako, mistune, mlflow, nbconvert, nltk, onnx, pillow, pip, pymdown-extensions, python-multipart, setuptools, starlette, unstructured, uv, werkzeug, wheel","aim, alibi-detect, altair, autogluon, bentoml, bigartm, biopy, blaze, bokeh, bolt, caffe, catalyst, catboost, chainer, cleanlab, cltk, colibri-core, colossalai, compreface, corenlp, cornac, cortex, danswerai, dash, deepchecks, deepface, deeplake, deeppavlov, deeppy, detectron2, determined, di-engine, digits, dowel, drqa, dtaidistance, emcee, evidently, face_recognition, fastapi, feast, fedot, garage, gensim, ggpy, gradio, gymnasium, haystack, hebel, igel, jax, jieba, joligen, jprocessing, keras-tuner, lab, lambdo, langflow, langfuse, lightgbm, lightly, lightwood, loso, machine-learning, mars, matplotlib, maze, metaworld, mindsdb, minigrad, mlens, mlflow, mljar-supervised, mlx, mlxtend, neural-style-pt, neuraltalk, neuraltalk2, neuroner, neuropredict, nilearn, nn_builder, numpy, nupic.studio, nut, open-metric-learning, open-webui, optuna, parris, pebl, petrel, pgmpy, pix2pix-keras, pkuseg-python, polyglot, prodmodel, pybrain, pydantic, pymc, pynlpl, pyqtgraph, pyss3, pysyft, pytensor, python-recsys, python-timbl, pytorch, pytorch-frame, pytorch-image-models, pytorch-lightning, pytorch_geometric, pytorchcv, rasa, ray, recommenders, retinaface, retro, river, rockpool, rosetta, scikit-image, scikit-learn, scikit-learn-intelex, scikit-opt, scikit-survival, seaborn, shogun, skbel, skll, skorch, sktime, somoclu, spacy, spammy, spearmint, statsmodels, stellargraph, streamlit, superset, synapseml, tensorflow, tesseract, textacy, tpot, transformers, typer, vigra, vispy, vizdoom, xcessiv, xgboost, xlearn, yalign, zipline, zpar"
4,base,41,Improper Resolution of Path Equivalence,1027,7753,"aiohttp, docling, flask, gitpython, gradio, ipython, jupyterlab, keras, langchain-core, litellm, litestar, mlflow, nbconvert, oauthlib, onnx, pillow, pip, pyjwt, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, transformers, ujson, unstructured, uv, vllm, werkzeug","aim, alibi-detect, altair, auto_viml, autogluon, autoviz, backprop, bentoml, bigartm, biopy, blaze, bokeh, bolt, caffe, catalyst, catboost, chainer, cleanlab, cltk, colibri-core, colossalai, compreface, corenlp, cornac, cortex, danswerai, dash, deepchecks, deepface, deeplake, deeppavlov, deeppy, detectron2, determined, di-engine, digits, dowel, drqa, dtaidistance, emcee, evidently, fastapi, feast, fedot, garage, gensim, ggpy, gradio, gymnasium, haystack, hebel, igel, jax, jieba, joligen, jprocessing, keras-tuner, lab, lambdo, langflow, langfuse, lightgbm, lightly, lightwood, loso, machine-learning, mars, matplotlib, maze, metaworld, mindsdb, minigrad, mlens, mlflow, mljar-supervised, mlx, mlxtend, nalp, neural-style-pt, neuraltalk, neuraltalk2, neuroner, neuropredict, nilearn, nn_builder, numpy, nupic.studio, nut, open-metric-learning, open-webui, optuna, parris, pattern, pebl, petrel, pgmpy, pix2pix-keras, pkuseg-python, polyglot, prodmodel, pybrain, pydantic, pymc, pynlpl, pyqtgraph, pyss3, pysyft, pytensor, python-recsys, python-timbl, pytorch, pytorch-frame, pytorch-image-models, pytorch-lightning, pytorch_geometric, pytorchcv, rasa, ray, recommenders, retinaface, retro, river, rockpool, rosetta, scikit-image, scikit-learn, scikit-learn-intelex, scikit-opt, scikit-survival, seaborn, shogun, skbel, skll, skorch, sktime, somoclu, spacy, spammy, spearmint, statsmodels, stellargraph, streamlit, superset, synapseml, tensorflow, tesseract, textacy, tpot, transformers, typer, vigra, vispy, vizdoom, xcessiv, xgboost, xlearn, yalign, zipline, zpar"
5,base,59,Improper Link Resolution Before File Access ('Link Following'),45,7085,"docling, gitpython, keras, litellm, nbconvert, onnx, python-dotenv, starlette, unstructured","aim, alibi-detect, altair, autogluon, bentoml, bigartm, biopy, blaze, bokeh, bolt, caffe, catalyst, catboost, chainer, cleanlab, cltk, colibri-core, colossalai, compreface, corenlp, cornac, cortex, danswerai, dash, deepchecks, deepface, deeplake, deeppavlov, deeppy, detectron2, determined, di-engine, digits, dowel, drqa, dtaidistance, emcee, evidently, fastapi, feast, fedot, garage, gensim, ggpy, gradio, gymnasium, haystack, hebel, igel, jax, jieba, joligen, jprocessing, keras-tuner, lab, lambdo, langflow, langfuse, lightgbm, lightly, lightwood, loso, machine-learning, mars, matplotlib, maze, metaworld, mindsdb, mlens, mlflow, mljar-supervised, mlx, mlxtend, neural-style-pt, neuraltalk, neuraltalk2, neuroner, neuropredict, nilearn, numpy, nut, open-metric-learning, open-webui, optuna, parris, pebl, petrel, pgmpy, pix2pix-keras, pkuseg-python, polyglot, prodmodel, pybrain, pymc, pynlpl, pyqtgraph, pyss3, pysyft, pytensor, python-recsys, python-timbl, pytorch, pytorch-frame, pytorch-image-models, pytorch-lightning, pytorch_geometric, pytorchcv, rasa, ray, recommenders, retinaface, retro, river, rockpool, rosetta, scikit-image, scikit-learn, scikit-learn-intelex, scikit-opt, scikit-survival, seaborn, shogun, skbel, skll, skorch, sktime, somoclu, spacy, spearmint, statsmodels, stellargraph, streamlit, superset, synapseml, tensorflow, tesseract, textacy, tpot, transformers, typer, vigra, vispy, vizdoom, xcessiv, xgboost, xlearn, yalign, zipline, zpar"
6,base,66,Improper Handling of File Names that Identify Virtual Resources,4,47,"starlette, werkzeug","altair, blaze, compreface, danswerai, di-engine, fastapi, gradio, igel, mlflow, rasa, ray, zipline"
7,base,73,External Control of File Name or Path,2181,8145,"aim, aiohttp, anthropic, babel, black, docling, dulwich, filelock, flask, flask-cors, gdown, gitpython, gradio, ipython, jupyter-server, jupyterlab, keras, langchain, langchain-core, lightning, litellm, litestar, mako, mistune, mlflow, nbconvert, nltk, oauthlib, onnx, pillow, pip, pygments, pymdown-extensions, python-dotenv, python-multipart, pytorch-lightning, pyyaml, setuptools, starlette, tensorflow, tensorflow-gpu, transformers, ujson, unstructured, uv, virtualenv, vllm, werkzeug, wheel","aim, alibi-detect, altair, auto_viml, autogluon, autoviz, backprop, bentoml, bigartm, biopy, blaze, bokeh, bolt, caffe, catalyst, catboost, chainer, cleanlab, cltk, colibri-core, colossalai, compreface, corenlp, cornac, cortex, danswerai, dash, deepchecks, deepface, deeplake, deeppavlov, deeppy, detectron2, determined, di-engine, digits, dowel, drqa, dtaidistance, emcee, evidently, face_recognition, fastapi, feast, fedot, garage, gensim, ggpy, gradio, gymnasium, haystack, hebel, igel, jax, jieba, joligen, jprocessing, keras-tuner, lab, lambdo, langflow, langfuse, lightgbm, lightly, lightning-bolts, lightwood, loso, machine-learning, mars, matplotlib, maze, metaworld, mindsdb, minigrad, mlens, mlflow, mljar-supervised, mlx, mlxtend, nalp, neofuzz, neural-style-pt, neuraltalk, neuraltalk2, neuroner, neuropredict, nilearn, nn_builder, numpy, nupic.studio, nut, open-metric-learning, open-webui, optuna, parris, pattern, pebl, petrel, pgmpy, pix2pix-keras, pkuseg-python, polyglot, prodmodel, pybrain, pydantic, pymc, pynlpl, pyqtgraph, pyss3, pysyft, pytensor, python-recsys, python-timbl, pytorch, pytorch-frame, pytorch-image-models, pytorch-lightning, pytorch_geometric, pytorchcv, rasa, ray, recommenders, retinaface, retro, river, rockpool, rosetta, scikit-image, scikit-learn, scikit-learn-intelex, scikit-opt, scikit-survival, seaborn, shogun, skbel, skll, skorch, sktime, somoclu, spacy, spammy, spearmint, statsmodels, stellargraph, streamlit, superset, synapseml, tensorflow, tesseract, textacy, tpot, transformers, typer, vigra, vispy, vizdoom, xcessiv, xgboost, xlearn, yalign, zipline, zpar"
8,base,76,Improper Neutralization of Equivalent Special Elements,3,27,"black, jupyterlab, notebook","catalyst, colossalai, danswerai, dash, detectron2, determined, igel, joligen, minigrad, rasa, ray, rep, textacy"
9,base,78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),241,180,"bleach, deepspeed, gitpython, gradio, langchain, lxml, lxml_html_clean, mistune, mlflow, pillow, pip, torch, tornado, tqdm, urllib3, virtualenv","aim, altair, backprop, chemicalx, cltk, colossalai, compreface, cortex, danswerai, deeppavlov, detecto, detectron2, determined, di-engine, digits, dl-translate, face_recognition, feast, garage, gradio, igel, minigrad, mlflow, nn_builder, nupic.studio, open-metric-learning, open-webui, rasa, ray, retro, rockpool, sentiment-analyzer, skbel, stellargraph, superset, zipline"
