,repo_name,counts
0,ColossalAI,50
1,CompreFace,103
2,DI-engine,2
3,DeepPavlov,8
4,Neuraxle,2
5,NeuroNER,198
6,PyTorchCV,1
7,aim,10
8,altair,2
9,autogluon,1
10,backprop,14
11,blaze,2
12,chemicalx,5
13,cleanlab,6
14,cltk,3
15,cornac,120
16,cortex,38
17,danswerai,35
18,dash,2
19,detecto,10
20,detectron2,5
21,determined,22
22,evidently,4
23,face_recognition,10
24,fastapi,2
25,feast,3
26,garage,5
27,gradio,18
28,igel,18
29,joliGEN,5
30,lightwood,18
31,matplotlib,1
32,minigrad,24
33,mlflow,25
34,nn_builder,298
35,nupic.studio,1
36,open-webui,17
37,optuna,2
38,pix2pix-keras,2
39,pydantic,1
40,pytorch,1
41,pytorch-frame,1
42,pytorch-lightning,2
43,pytorch_geometric,2
44,rasa,27
45,ray,158
46,rep,2
47,retro,1
48,rockpool,7
49,seaborn,2
50,sentiment-analyzer,1
51,skbel,4
52,stellargraph,6
53,superset,9
54,tpot,10
55,zipline,7
