,rule.tags,rule.security_severity_level,rule.name,rule.description,counts
0,['cwe-074'],critical,py/template-injection,Server Side Template Injection,8
1,"['cwe-078', 'cwe-088']",critical,py/command-line-injection,Uncontrolled command line,300
2,"['cwe-094', 'cwe-095', 'cwe-116']",critical,py/code-injection,Code injection,132
3,['cwe-502'],critical,py/unsafe-deserialization,Deserialization of user-controlled data,696
4,['cwe-918'],critical,py/full-ssrf,Full server-side request forgery,81
