repo,in_scope,top_language,semgrep_ran,semgrep_status,semgrep_date,semgrep_run_url,reason
AutoViz,yes,Python,yes,success,2026-08-14T18:33:58Z,,ok
Auto_ViML,yes,Python,yes,success,2026-08-14T16:25:46Z,,ok
BayesPy,yes,HTML,yes,success,2026-08-14T22:26:52Z,,ok
BioPy,yes,Python,yes,success,2026-08-14T22:31:28Z,,ok
ColossalAI,yes,Python,yes,success,2026-08-14T23:00:18Z,,ok
DI-engine,yes,Python,yes,success,2026-08-14T22:18:19Z,,ok
DIGITS,yes,HTML,yes,success,2026-08-14T22:16:54Z,,ok
DeepPavlov,yes,Python,yes,success,2026-08-14T22:14:19Z,,ok
DrQA,yes,Python,yes,success,2026-08-14T22:32:48Z,,ok
FEDOT,yes,Python,yes,success,2026-08-14T22:17:24Z,,ok
Gymnasium,yes,Python,yes,success,2026-08-14T22:27:48Z,,ok
IoT-Owl,yes,Python,yes,success,2026-08-14T22:14:17Z,,ok
Lasagne,yes,Python,yes,success,2026-08-14T22:24:07Z,,ok
LightGBM,yes,C++,yes,success,2026-08-14T16:18:26Z,,ok
Metaworld,yes,Python,yes,success,2026-08-14T22:26:20Z,,ok
Neural,yes,Python,yes,success,2026-08-14T16:50:36Z,,ok
Neuraxle,yes,Python,yes,success,2026-08-14T22:16:20Z,,ok
NeuroNER,yes,Python,yes,success,2026-08-14T16:53:06Z,,ok
PCV,yes,Python,yes,success,2026-08-14T22:15:47Z,,ok
Parris,yes,Python,yes,success,2026-08-14T22:28:29Z,,ok
Petrel,yes,Python,yes,success,2026-08-14T22:24:29Z,,ok
PyStanfordDependencies,yes,Python,yes,success,2026-08-14T22:17:53Z,,ok
PySyft,yes,Python,yes,success,2026-08-15T11:22:09Z,,ok
PyTorchCV,yes,Shell,yes,success,2026-08-15T08:50:56Z,,ok
Pyevolve,yes,Python,yes,success,2026-08-14T22:26:37Z,,ok
SOMPY,yes,Python,yes,success,2026-08-14T16:27:59Z,,ok
Sklearn-genetic-opt,yes,Python,yes,success,2026-08-14T22:29:05Z,,ok
Spearmint,yes,Python,yes,success,2026-08-14T16:47:51Z,,ok
SynapseML,yes,Scala,yes,success,2026-08-14T22:19:17Z,,ok
TResNet,yes,Python,yes,success,2026-08-14T22:31:19Z,,ok
ViZDoom,yes,C++,yes,success,2026-08-14T22:30:21Z,,ok
aim,yes,Python,yes,success,2026-08-15T10:38:02Z,,ok
alibi,yes,Python,yes,success,2026-08-14T17:56:08Z,,ok
alibi-detect,yes,Python,yes,success,2026-08-14T22:32:41Z,,ok
altair,yes,Python,yes,success,2026-08-14T22:31:34Z,,ok
annoy,yes,C++,yes,success,2026-08-14T22:27:53Z,,ok
autogluon,yes,Python,yes,success,2026-08-15T10:24:45Z,,ok
backprop,yes,Python,yes,success,2026-08-14T22:29:17Z,,ok
bayeso,yes,Python,yes,success,2026-08-14T16:38:22Z,,ok
bentoml,yes,Python,yes,success,2026-08-14T16:25:34Z,,ok
bigartm,yes,C++,yes,success,2026-08-15T10:57:24Z,,ok
blaze,yes,Python,yes,success,2026-08-15T11:13:42Z,,ok
bokeh,yes,TypeScript,yes,success,2026-08-15T09:14:55Z,,ok
bolt,yes,Python,yes,success,2026-08-14T22:26:21Z,,ok
bowtie,yes,Python,yes,success,2026-08-14T22:17:05Z,,ok
bqplot,yes,TypeScript,yes,success,2026-08-15T10:53:12Z,,ok
breze,yes,Python,yes,success,2026-08-14T19:03:54Z,,ok
bytehub,yes,Python,yes,success,2026-08-14T22:14:49Z,,ok
caffe,yes,C++,yes,success,2026-08-14T17:44:32Z,,ok
catalyst,yes,Python,yes,success,2026-08-15T09:09:54Z,,ok
catboost,yes,C++,yes,success,2026-08-14T16:12:01Z,,ok
chainer,yes,Python,yes,success,2026-08-14T22:26:43Z,,ok
chefboost,yes,Python,yes,success,2026-08-14T18:05:45Z,,ok
chemicalx,yes,Python,yes,success,2026-08-14T22:20:27Z,,ok
