,repo_name,counts
0,ColossalAI,90
1,CompreFace,153
2,DI-engine,5
3,DIGITS,12
4,DeepPavlov,13
5,FEDOT,13
6,Lasagne,4
7,LightGBM,1
8,Neuraxle,2
9,NeuroNER,226
10,PyTorchCV,6
11,aim,38
12,alibi,11
13,alibi-detect,11
14,altair,22
15,backprop,16
16,bigartm,4
17,blaze,15
18,catboost,1
19,chainer,8
20,chemicalx,2
21,cleanlab,3
22,cltk,28
23,cornac,266
24,cortex,39
25,danswerai,72
26,dash,3
27,detecto,4
28,detectron2,2
29,determined,26
30,dirty_cat,1
31,evidently,47
32,face_recognition,12
33,fastapi,18
34,feast,162
35,garage,2
36,gensim,16
37,gradio,26
38,igel,150
39,joliGEN,2
40,lightning-bolts,2
41,lightwood,43
42,litellm,1
43,matplotlib,16
44,minigrad,70
45,mlflow,209
46,neofuzz,4
47,nn_builder,312
48,nupic.studio,32
49,open-metric-learning,4
50,open-webui,96
51,optuna,20
52,pix2pix-keras,16
53,prodmodel,2
54,pydantic,1
55,pytorch_geometric,8
56,rasa,90
57,ray,476
58,recommenders,2
59,rep,8
60,retro,7
61,rockpool,3
62,scikit-multiflow,2
63,seaborn,4
64,sentiment-analyzer,4
65,skbel,27
66,snips-nlu,1
67,spammy,32
68,sparklingpandas,2
69,stellargraph,68
70,suiron,4
71,superset,4
72,tensorflow,8
73,textacy,18
74,tpot,4
75,typer,2
76,zipline,69
