repo,in_scope,top_language,semgrep_ran,semgrep_status,semgrep_date,semgrep_run_url,reason
gan,yes,Python,yes,success,2026-08-16T09:33:36Z,,ok
caffe,yes,Python,yes,success,2026-08-16T09:32:30Z,,ok
cleanlab,yes,Python,yes,success,2026-08-15T22:21:47Z,,ok
mlxtend,yes,Python,yes,success,2026-08-15T22:31:01Z,,ok
tesseract,yes,Python,yes,success,2026-08-16T09:36:46Z,,ok
SynapseML,yes,Python,yes,success,2026-08-15T22:18:36Z,,ok
SOMPY,yes,Python,yes,success,2026-08-16T09:36:24Z,,ok
eurybia,yes,Python,yes,success,2026-08-15T22:27:49Z,,ok
FEDOT,yes,Python,yes,success,2026-08-15T22:16:06Z,,ok
lightly,yes,Python,yes,success,2026-08-15T22:16:59Z,,ok
mljar-supervised,yes,Python,yes,success,2026-08-16T09:34:28Z,,ok
deeppy,yes,Python,yes,success,2026-08-16T09:33:06Z,,ok
mindsdb,yes,Python,yes,success,2026-08-16T12:50:33Z,,ok
alibi,yes,Python,yes,success,2026-08-16T09:32:10Z,,ok
sparklingpandas,yes,Python,yes,success,2026-08-16T09:36:28Z,,ok
spaCy,yes,Python,yes,success,2026-08-15T22:28:55Z,,ok
pybroker,yes,Python,yes,success,2026-08-15T22:18:12Z,,ok
jProcessing,yes,Python,yes,success,2026-08-16T09:33:58Z,,ok
retinaface,yes,Python,yes,success,2026-08-16T09:35:43Z,,ok
neuraltalk,yes,Python,yes,success,2026-08-16T09:34:37Z,,ok
pytorch-image-models,yes,Python,yes,success,2026-08-15T22:31:12Z,,ok
tdb,yes,Python,yes,success,2026-08-16T09:36:42Z,,ok
mlx,yes,Python,yes,success,2026-08-15T22:13:13Z,,ok
scikit-learn-intelex,yes,Python,yes,success,2026-08-15T22:12:14Z,,ok
deeplake,yes,Python,yes,success,2026-08-15T22:30:01Z,,ok
minigrad,yes,Python,yes,success,2026-08-16T09:34:20Z,,ok
Neuraxle,yes,Python,yes,success,2026-08-16T09:34:39Z,,ok
dedupe,yes,Python,yes,success,2026-08-15T22:16:52Z,,ok
segmentation_models,yes,Python,yes,success,2026-08-16T09:36:04Z,,ok
stellargraph,yes,Python,yes,success,2026-08-16T09:36:36Z,,ok
pix2pix-keras,yes,Python,yes,success,2026-08-16T09:35:07Z,,ok
miraiml,yes,Python,yes,success,2026-08-16T09:34:22Z,,ok
upgini,yes,Python,yes,success,2026-08-15T22:30:07Z,,ok
xcessiv,yes,Python,yes,success,2026-08-16T09:36:58Z,,ok
pytorch,yes,Python,yes,success,2026-08-15T22:22:59Z,,ok
convnet-benchmarks,yes,Python,yes,success,2026-08-15T22:17:24Z,,ok
frouros,yes,Python,yes,success,2026-08-15T22:18:33Z,,ok
bytehub,yes,Python,yes,success,2026-08-16T09:32:28Z,,ok
