,type,id,description,Unnamed: 0,cwe_counts,libraries,repos
231,base,939,Improper Authorization in Handler for Custom URL Scheme,9,15,"mcp, mlflow","feast, mlflow, superset"
232,base,940,Improper Verification of Source of a Communication Channel,12,26,"aiohttp, flask-cors, gradio, mcp, mlflow","blaze, colossalai, feast, lightwood, mindsdb, mlflow, open-webui, ray, superset, zipline"
233,base,1021,Improper Restriction of Rendered UI Layers or Frames,2,7,pyjwt,"mindsdb, ray"
234,base,1024,Comparison of Incompatible Types,40,101,"nltk, numpy, setuptools, tensorflow, tensorflow-gpu","aim, autogluon, blaze, cltk, compreface, cornac, cortex, determined, evidently, feast, gensim, igel, lightwood, mindsdb, mlflow, neuroner, nn_builder, open-webui, pix2pix-keras, pytorch, pytorch-lightning, ray, retro, scikit-multiflow, skbel, superset, tensorflow"
235,base,1025,Comparison Using Wrong Factors,48,101,"nltk, numpy, setuptools, tensorflow, tensorflow-gpu","aim, autogluon, blaze, cltk, compreface, cornac, cortex, determined, evidently, feast, gensim, igel, lightwood, mindsdb, mlflow, neuroner, nn_builder, open-webui, pix2pix-keras, pytorch, pytorch-lightning, ray, retro, scikit-multiflow, skbel, superset, tensorflow"
236,base,1050,Excessive Platform Resource Consumption within a Loop,6,1,marshmallow,lightwood
237,base,1058,Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,56,24,"tensorflow, tensorflow-gpu","compreface, cornac, igel, neuroner, nn_builder"
238,base,1072,Data Resource Access without Use of Connection Pooling,7,1,marshmallow,lightwood
239,base,1073,Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses,8,1,marshmallow,lightwood
240,base,1084,Invokable Control Element with Excessive File or Data Access Operations,9,1,marshmallow,lightwood
241,base,1089,Large Data Table with Excessive Number of Indices,10,1,marshmallow,lightwood
242,base,1094,Excessive Index Range Scan for a Data Resource,11,1,marshmallow,lightwood
243,base,1173,Improper Use of Validation Framework,234,559,"aiohttp, flask, gitpython, gradio, ipython, jupyterlab, litestar, mlflow, oauthlib, onnx, pillow, pip, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, transformers, ujson, uv, werkzeug","aim, altair, auto_viml, autoviz, backprop, blaze, bokeh, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deeppavlov, determined, digits, evidently, fastapi, feast, gradio, igel, langflow, lightly, lightwood, matplotlib, mindsdb, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, pix2pix-keras, pydantic, pysyft, pytensor, pytorch, pytorchcv, rasa, ray, retro, spammy, streamlit, superset, transformers, vizdoom, zipline"
244,base,1188,Initialization of a Resource with an Insecure Default,77,58,"aiohttp, pillow, tensorflow, tensorflow-gpu, torch","aim, backprop, chemicalx, cleanlab, colossalai, compreface, cornac, cortex, determined, gradio, igel, joligen, lightwood, mindsdb, neuroner, nn_builder, open-webui, ray, tpot, zipline"
245,base,1189,Improper Isolation of Shared Resources on System-on-a-Chip (SoC),26,8,"tensorflow, tensorflow-gpu","compreface, cornac, igel, neuroner, nn_builder"
246,base,1191,On-Chip Debug and Test Interface With Improper Access Control,54,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
247,base,1204,Generation of Weak Initialization Vector (IV),7,2,gradio,colossalai
248,base,1220,Insufficient Granularity of Access Control,60,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
249,base,1223,Race Condition for Write-Once Attributes,28,24,"filelock, gradio, virtualenv","cltk, colossalai, compreface, cornac, feast, igel, lightwood, pydantic, ray"
250,base,1224,Improper Restriction of Write-Once Bit Fields,66,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
251,base,1230,Exposure of Sensitive Information Through Metadata,21,8,"aiohttp, gradio","colossalai, lightwood, ray"
252,base,1231,Improper Prevention of Lock Bit Modification,72,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
253,base,1232,Improper Lock Behavior After Power State Transition,9,8,"tensorflow, tensorflow-gpu","compreface, cornac, igel, neuroner, nn_builder"
254,base,1233,Security-Sensitive Hardware Controls with Missing Lock Bit Protection,88,35,"flask-cors, gradio, jupyterlab, mlflow, tensorflow, tensorflow-gpu","blaze, colossalai, compreface, cornac, feast, igel, mlflow, neuroner, nn_builder, ray, zipline"
255,base,1234,Hardware Internal or Debug Modes Allow Override of Locks,11,8,"tensorflow, tensorflow-gpu","compreface, cornac, igel, neuroner, nn_builder"
256,base,1235,Incorrect Use of Autoboxing and Unboxing for Performance Critical Operations,468,711,"aim, aiohttp, cairosvg, cryptography, docling, dparse, dulwich, flask, future, gradio, h2o, hermes-agent, httplib2, idna, jinja2, joserfc, langchain, markdown, mistune, mlflow, nltk, onnx, pillow, pyasn1, pydantic-settings, pygments, pyjwt, pypdf, python-multipart, soupsieve, sqlfluff, starlette, tensorflow, tensorflow-gpu, tornado, transformers, urllib3, werkzeug, zipp","aim, alibi, altair, backprop, bentoml, bigartm, blaze, bokeh, caffe, catboost, chainer, cltk, colossalai, compreface, corenlp, cornac, cortex, danswerai, dash, deepchecks, deeppavlov, determined, di-engine, digits, dirty_cat, drqa, emcee, evidently, face_recognition, fastapi, feast, fedot, gensim, gradio, haystack, igel, jax, jprocessing, lambdo, langflow, lightgbm, lightning-bolts, lightwood, mars, matplotlib, mindsdb, mlflow, neuroner, nn_builder, numpy, open-webui, pandas, pattern, pebl, pgmpy, pydantic, pymc, pyqtgraph, pyss3, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, scikit-learn, scikit-learn-intelex, skbel, skll, snips-nlu, streamlit, superset, tensorflow, transformers, typer, vigra, vispy, vizdoom, xgboost, xlearn, zipline, zpar"
257,base,1236,Improper Neutralization of Formula Elements in a CSV File,240,46,"gitpython, hermes-agent, langchain, lxml, pillow, tornado, tqdm, urllib3","cltk, colossalai, compreface, di-engine, digits, dl-translate, feast, igel, mindsdb, mlflow, open-webui, pandas, ray, superset, zipline"
258,base,1240,Use of a Cryptographic Primitive with a Risky Implementation,18,27,"gradio, mlflow, paramiko","colossalai, couler, danswerai, determined, feast, gradio, langflow, lightly, mars, mlflow, open-webui, streamlit, superset"
259,base,1241,Use of Predictable Algorithm in Random Number Generator,8,2,gradio,colossalai
260,base,1244,Internal Asset Exposed to Unsafe Debug Access Level or State,7,1,"jupyterlab, pyjwt",ray
261,base,1246,Improper Write Handling in Limited-write Non-Volatile Memories,546,711,"aim, aiohttp, cairosvg, cryptography, docling, dparse, dulwich, flask, future, gradio, h2o, hermes-agent, httplib2, idna, jinja2, joserfc, langchain, markdown, mistune, mlflow, nltk, onnx, pillow, pyasn1, pydantic-settings, pygments, pyjwt, pypdf, python-multipart, soupsieve, sqlfluff, starlette, tensorflow, tensorflow-gpu, tornado, transformers, urllib3, werkzeug, zipp","aim, alibi, altair, backprop, bentoml, bigartm, blaze, bokeh, caffe, catboost, chainer, cltk, colossalai, compreface, corenlp, cornac, cortex, danswerai, dash, deepchecks, deeppavlov, determined, di-engine, digits, dirty_cat, drqa, emcee, evidently, face_recognition, fastapi, feast, fedot, gensim, gradio, haystack, igel, jax, jprocessing, lambdo, langflow, lightgbm, lightning-bolts, lightwood, mars, matplotlib, mindsdb, mlflow, neuroner, nn_builder, numpy, open-webui, pandas, pattern, pebl, pgmpy, pydantic, pymc, pyqtgraph, pyss3, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, scikit-learn, scikit-learn-intelex, skbel, skll, snips-nlu, streamlit, superset, tensorflow, transformers, typer, vigra, vispy, vizdoom, xgboost, xlearn, zipline, zpar"
262,base,1248,Semiconductor Defects in Hardware Logic with Security-Sensitive Implications,54,12,"jinja2, onnx","blaze, cleanlab, compreface, igel, mlflow, pomegranate, ray, zipline"
263,base,1252,CPU Hardware Not Configured to Support Exclusivity of Write and Execute Operations,84,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
264,base,1253,Incorrect Selection of Fuse Values,57,12,"jinja2, onnx","blaze, cleanlab, compreface, igel, mlflow, pomegranate, ray, zipline"
265,base,1254,Incorrect Comparison Logic Granularity,75,129,"cryptography, gradio, nltk, numpy, setuptools, tensorflow, tensorflow-gpu","aim, altair, autogluon, blaze, cltk, colossalai, compreface, cornac, cortex, determined, evidently, face_recognition, feast, gensim, igel, lightwood, mindsdb, mlflow, neuroner, nn_builder, open-webui, pix2pix-keras, pytorch, pytorch-lightning, ray, retro, scikit-multiflow, skbel, superset, tensorflow, typer"
266,base,1256,Improper Restriction of Software Interfaces to Hardware Features,24,6,gradio,colossalai
267,base,1257,Improper Access Control Applied to Mirrored or Aliased Memory Regions,470,258,"cryptography, flask-cors, gradio, jupyterlab, mlflow, protobuf, sentencepiece, tensorflow, tensorflow-gpu, torch","aim, autogluon, backprop, blaze, chemicalx, cleanlab, cltk, colossalai, compreface, cornac, cortex, determined, feast, gradio, igel, joligen, lightwood, mindsdb, mlflow, neuroner, nn_builder, open-webui, pytorch-frame, pytorch-lightning, ray, tpot, zipline"
268,base,1259,Improper Restriction of Security Token Assignment,96,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
269,base,1260,Improper Handling of Overlap Between Protected Memory Ranges,501,258,"cryptography, flask-cors, gradio, jupyterlab, mlflow, protobuf, sentencepiece, tensorflow, tensorflow-gpu, torch","aim, autogluon, backprop, blaze, chemicalx, cleanlab, cltk, colossalai, compreface, cornac, cortex, determined, feast, gradio, igel, joligen, lightwood, mindsdb, mlflow, neuroner, nn_builder, open-webui, pytorch-frame, pytorch-lightning, ray, tpot, zipline"
270,base,1262,Improper Access Control for Register Interface,108,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
271,base,1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls,43,71,"aiohttp, msgpack, pyarrow, tensorflow, tensorflow-gpu, torch","aim, backprop, chemicalx, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, feast, gradio, igel, lightwood, mindsdb, neuroner, nn_builder, open-webui, ray, tpot"
272,base,1266,Improper Scrubbing of Sensitive Data from Decommissioned Device,15,67,"aiohttp, torch","aim, backprop, chemicalx, cleanlab, colossalai, cornac, cortex, determined, gradio, joligen, lightwood, mindsdb, nn_builder, open-webui, ray, tpot"
273,base,1267,Policy Uses Obsolete Encoding,120,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
274,base,1269,Product Released in Non-Release Configuration,60,12,"jinja2, onnx","blaze, cleanlab, compreface, igel, mlflow, pomegranate, ray, zipline"
275,base,1270,Generation of Incorrect Security Tokens,126,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
276,base,1272,Sensitive Information Uncleared Before Debug/Power State Transition,182,124,"aiohttp, gitpython, gradio, mlflow, requests, tornado, urllib3","aim, altair, bentoml, bokeh, catboost, cleanlab, cltk, colossalai, compreface, cortex, detectron2, determined, evidently, feast, gan, gradio, igel, jax, langflow, lightgbm, lightwood, mindsdb, mlflow, open-metric-learning, open-webui, pyss3, pytorch-lightning, pytorch_geometric, ray, rep, sinabs, skbel, spacy, streamlit, transformers, zipline"
277,base,1273,Device Unlock Credential Sharing,117,124,"aiohttp, gitpython, gradio, mlflow, requests, tornado, urllib3","aim, altair, bentoml, bokeh, catboost, cleanlab, cltk, colossalai, compreface, cortex, detectron2, determined, evidently, feast, gan, gradio, igel, jax, langflow, lightgbm, lightwood, mindsdb, mlflow, open-metric-learning, open-webui, pyss3, pytorch-lightning, pytorch_geometric, ray, rep, sinabs, skbel, spacy, streamlit, transformers, zipline"
278,base,1274,Improper Access Control for Volatile Memory Containing Boot Code,132,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
279,base,1276,Hardware Child Block Incorrectly Connected to Parent System,138,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
280,base,1278,Missing Protection Against Hardware Reverse Engineering Using Integrated Circuit (IC) Imaging Techniques,63,12,"jinja2, onnx","blaze, cleanlab, compreface, igel, mlflow, pomegranate, ray, zipline"
281,base,1279,Cryptographic Operations are run Before Supporting Units are Ready,35,58,"aiohttp, pillow, tensorflow, tensorflow-gpu, torch","aim, backprop, chemicalx, cleanlab, colossalai, compreface, cornac, cortex, determined, gradio, igel, joligen, lightwood, mindsdb, neuroner, nn_builder, open-webui, ray, tpot, zipline"
282,base,1280,Access Control Check Implemented After Asset is Accessed,144,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
283,base,1282,Assumed-Immutable Data is Stored in Writable Memory,34,11,"tensorflow, tensorflow-gpu","compreface, cornac, igel, neuroner, nn_builder"
284,base,1283,Mutable Attestation or Measurement Reporting Data,150,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
285,base,1284,Improper Validation of Specified Quantity in Input,1746,1248,"aiohttp, dulwich, flask, gitpython, gradio, grpcio, ipython, jupyterlab, litestar, mlflow, oauthlib, onnx, pillow, pip, pypdf, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, transformers, ujson, uv, werkzeug","aim, alibi, altair, auto_viml, autoviz, backprop, blaze, bokeh, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deeppavlov, determined, digits, evidently, fastapi, feast, gradio, igel, langflow, lightly, lightwood, matplotlib, mindsdb, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, pix2pix-keras, pydantic, pysyft, pytensor, pytorch, pytorchcv, rasa, ray, retro, skbel, spammy, streamlit, superset, transformers, vizdoom, zipline"
286,base,1285,"Improper Validation of Specified Index, Position, or Offset in Input",390,559,"aiohttp, flask, gitpython, gradio, ipython, jupyterlab, litestar, mlflow, oauthlib, onnx, pillow, pip, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, transformers, ujson, uv, werkzeug","aim, altair, auto_viml, autoviz, backprop, blaze, bokeh, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deeppavlov, determined, digits, evidently, fastapi, feast, gradio, igel, langflow, lightly, lightwood, matplotlib, mindsdb, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, pix2pix-keras, pydantic, pysyft, pytensor, pytorch, pytorchcv, rasa, ray, retro, spammy, streamlit, superset, transformers, vizdoom, zipline"
287,base,1286,Improper Validation of Syntactic Correctness of Input,468,559,"aiohttp, flask, gitpython, gradio, ipython, jupyterlab, litestar, mlflow, oauthlib, onnx, pillow, pip, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, transformers, ujson, uv, werkzeug","aim, altair, auto_viml, autoviz, backprop, blaze, bokeh, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deeppavlov, determined, digits, evidently, fastapi, feast, gradio, igel, langflow, lightly, lightwood, matplotlib, mindsdb, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, pix2pix-keras, pydantic, pysyft, pytensor, pytorch, pytorchcv, rasa, ray, retro, spammy, streamlit, superset, transformers, vizdoom, zipline"
288,base,1287,Improper Validation of Specified Type of Input,552,599,"aiohttp, cryptography, flask, gitpython, gradio, ipython, jupyterlab, litestar, mlflow, oauthlib, onnx, pillow, pip, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, transformers, ujson, uv, werkzeug","aim, altair, auto_viml, autoviz, backprop, blaze, bokeh, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deeppavlov, determined, digits, evidently, face_recognition, fastapi, feast, gradio, igel, langflow, lightly, lightwood, matplotlib, mindsdb, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, pix2pix-keras, pydantic, pysyft, pytensor, pytorch, pytorchcv, rasa, ray, retro, spammy, streamlit, superset, transformers, vizdoom, zipline"
289,base,1288,Improper Validation of Consistency within Input,624,559,"aiohttp, flask, gitpython, gradio, ipython, jupyterlab, litestar, mlflow, oauthlib, onnx, pillow, pip, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, transformers, ujson, uv, werkzeug","aim, altair, auto_viml, autoviz, backprop, blaze, bokeh, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deeppavlov, determined, digits, evidently, fastapi, feast, gradio, igel, langflow, lightly, lightwood, matplotlib, mindsdb, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, pix2pix-keras, pydantic, pysyft, pytensor, pytorch, pytorchcv, rasa, ray, retro, spammy, streamlit, superset, transformers, vizdoom, zipline"
290,base,1289,Improper Validation of Unsafe Equivalence in Input,743,574,"aiohttp, flask, flask-cors, gitpython, gradio, ipython, jupyterlab, litestar, mlflow, oauthlib, onnx, pillow, pip, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, transformers, ujson, uv, werkzeug","aim, altair, auto_viml, autoviz, backprop, blaze, bokeh, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deeppavlov, determined, digits, evidently, fastapi, feast, gradio, igel, langflow, lightly, lightwood, matplotlib, mindsdb, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, pix2pix-keras, pydantic, pysyft, pytensor, pytorch, pytorchcv, rasa, ray, retro, seaborn, spammy, streamlit, superset, transformers, vizdoom, zipline"
291,base,1290,Incorrect Decoding of Security Identifiers,156,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
292,base,1291,Public Key Re-Use for Signing both Debug and Production Code,66,12,"jinja2, onnx","blaze, cleanlab, compreface, igel, mlflow, pomegranate, ray, zipline"
293,base,1292,Incorrect Conversion of Security Identifiers,162,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
294,base,1293,Missing Source Correlation of Multiple Independent Data,150,42,"certifi, cryptography, gradio, mistune, onnx, pillow, pyjwt, tensorflow, tensorflow-gpu","aim, altair, colossalai, compreface, cornac, evidently, face_recognition, igel, mlflow, neuroner, nn_builder, ray, retro, skbel, zipline"
295,base,1295,Debug Messages Revealing Unnecessary Information,140,234,"aiohttp, cryptography, gitpython, gradio, mlflow, requests, tornado, urllib3","aim, altair, bentoml, blaze, bokeh, catboost, cleanlab, cltk, colossalai, compreface, cortex, danswerai, dash, deepface, detectron2, determined, digits, evidently, feast, gan, gradio, igel, jax, joligen, langflow, lightgbm, lightwood, machine-learning, mindsdb, mlflow, open-metric-learning, open-webui, pyss3, pysyft, pytorch-lightning, pytorch_geometric, ray, rep, sinabs, skbel, spacy, streamlit, superset, transformers, typer, zipline"
296,base,1296,Incorrect Chaining or Granularity of Debug Components,174,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
297,base,1297,Unprotected Confidential Information on Device is Accessible by OSAT Vendors,27,6,gradio,colossalai
298,base,1298,Hardware Logic Contains Race Conditions,32,24,"filelock, gradio, virtualenv","cltk, colossalai, compreface, cornac, feast, igel, lightwood, pydantic, ray"
299,base,1300,Improper Protection of Physical Side Channels,24,12,"cryptography, gradio","colossalai, face_recognition, igel, mlflow"
300,base,1303,Non-Transparent Sharing of Microarchitectural Resources,10,6,"cryptography, gradio","colossalai, face_recognition, igel, mlflow"
301,base,1304,Improperly Preserved Integrity of Hardware Configuration State During a Power Save/Restore Operation,350,69,"certifi, cryptography, flask-cors, gradio, jupyterlab, mistune, mlflow, onnx, pillow, pyjwt, tensorflow, tensorflow-gpu","aim, altair, blaze, colossalai, compreface, cornac, evidently, face_recognition, feast, igel, mlflow, neuroner, nn_builder, ray, retro, skbel, zipline"
302,base,1311,Improper Translation of Security Attributes by Fabric Bridge,186,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
303,base,1312,Missing Protection for Mirrored Regions in On-Chip Fabric Firewall,192,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
304,base,1313,Hardware Allows Activation of Test or Debug Logic at Runtime,198,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
305,base,1314,Missing Write Protection for Parametric Data Values,12,15,"mcp, mlflow","feast, mlflow, superset"
306,base,1315,Improper Setting of Bus Controlling Capability in Fabric End-point,204,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
307,base,1316,Fabric-Address Map Allows Programming of Unwarranted Overlaps of Protected and Unprotected Ranges,210,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
308,base,1317,Improper Access Control in Fabric Bridge,216,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
309,base,1318,Missing Support for Security Features in On-chip Fabrics or Buses,69,12,"jinja2, onnx","blaze, cleanlab, compreface, igel, mlflow, pomegranate, ray, zipline"
310,base,1319,Improper Protection against Electromagnetic Fault Injection (EM-FI),72,12,"jinja2, onnx","blaze, cleanlab, compreface, igel, mlflow, pomegranate, ray, zipline"
311,base,1320,Improper Protection for Outbound Error Messages and Alert Signals,222,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
312,base,1322,"Use of Blocking Code in Single-threaded, Non-blocking Context",38,90,"aiohttp, numpy, pillow, pyasn1, pygments, pypdf, tensorflow, tensorflow-gpu, ujson, zipp","alibi, altair, blaze, colossalai, compreface, cornac, evidently, fastapi, feast, igel, lightwood, matplotlib, mindsdb, mlflow, neuroner, nn_builder, open-webui, pix2pix-keras, ray, skbel, zipline"
313,base,1323,Improper Management of Sensitive Trace Data,228,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
314,base,1325,Improperly Controlled Sequential Memory Allocation,472,713,"aim, aiohttp, cryptography, dulwich, gradio, grpcio, h2o, httplib2, joserfc, lxml, numpy, onnx, orjson, pillow, pypdf, python-multipart, soupsieve, starlette, tensorflow, tensorflow-gpu, tornado, urllib3, werkzeug","aim, alibi, altair, blaze, colossalai, compreface, cornac, evidently, face_recognition, fastapi, feast, fedot, igel, lightwood, matplotlib, mindsdb, mlflow, neuroner, nn_builder, open-webui, pix2pix-keras, pytorch, pytorch-lightning, ray, scikit-multiflow, skbel, zipline"
315,base,1326,Missing Immutable Root of Trust in Hardware,75,12,"jinja2, onnx","blaze, cleanlab, compreface, igel, mlflow, pomegranate, ray, zipline"
316,base,1327,Binding to an Unrestricted IP Address,28,8,"tensorflow, tensorflow-gpu","compreface, cornac, igel, neuroner, nn_builder"
317,base,1328,Security Version Number Mutable to Older Versions,30,6,gradio,colossalai
318,base,1331,Improper Isolation of Shared Resources in Network On Chip (NoC),29,8,"tensorflow, tensorflow-gpu","compreface, cornac, igel, neuroner, nn_builder"
319,base,1333,Inefficient Regular Expression Complexity,32,96,"mistune, pyasn1, pypdf, python-multipart","aim, altair, colossalai, compreface, igel, mindsdb, mlflow, open-webui, ray, skbel, superset"
320,base,1334,Unauthorized Error Injection Can Degrade Hardware Redundancy,234,27,"flask-cors, gradio, jupyterlab, mlflow","blaze, colossalai, feast, mlflow, ray, zipline"
321,base,1335,Incorrect Bitwise Shift of Integer,10,8,"tensorflow, tensorflow-gpu","compreface, cornac, igel, neuroner, nn_builder"
322,base,1336,Improper Neutralization of Special Elements Used in a Template Engine,92,222,"aim, chromadb, diffusers, diskcache, dynaconf, gitpython, joblib, keras, mlflow, modelscope, nltk, numexpr, pillow, ray, setuptools, sqlitedict, tensorflow, tensorflow-gpu","aim, alibi, alibi-detect, annoy, bigartm, blaze, breze, bytehub, catalyst, catboost, chainer, cleanlab, cltk, colossalai, compreface, cornac, couler, dash, deeppavlov, deeppy, determined, di-engine, digits, evidently, feast, fedot, gan, gensim, ggpy, igel, imbalanced-ensemble, joligen, lambdo, langflow, lifelines, lightwood, litellm, matplotlib, metric-learn, mindsdb, mist, mlflow, neuroner, nn_builder, notebook, numpy, nupic.studio, open-webui, pebl, pix2pix-keras, pybrain, pyod, pyqtgraph, python-timbl, pytorch, ray, recommenders, retro, rgf, rockpool, scikit-image, scikit-multiflow, seaborn, segmentation_models, snips-nlu, statsmodels, stellargraph, streamlit, superset, tensorflow, tpot, vigra, xlearn, zipline, zpar"
323,base,1338,Improper Protections Against Hardware Overheating,78,12,"jinja2, onnx","blaze, cleanlab, compreface, igel, mlflow, pomegranate, ray, zipline"
324,base,1339,Insufficient Precision or Accuracy of a Real Number,558,553,"cryptography, pillow, protobuf, pypdf, sentencepiece, tensorflow, tensorflow-cpu, tensorflow-gpu, torch, ujson","aim, alibi, altair, autogluon, backprop, chemicalx, cleanlab, cltk, colossalai, compreface, cornac, cortex, determined, evidently, fastapi, feast, gradio, igel, joligen, lightwood, matplotlib, mindsdb, mlflow, neuroner, nn_builder, open-webui, pytorch-frame, pytorch-lightning, ray, skbel, tpot, zipline"
325,base,1341,Multiple Releases of Same Resource or Handle,6,15,"psutil, tensorflow, tensorflow-gpu","aim, blaze, compreface, cornac, igel, neuroner, nn_builder"
326,base,1386,Insecure Operation on Windows Junction / Mount Point,35,41,"anthropic, filelock, langchain, onnx, pip, pydantic-settings, python-dotenv, virtualenv","cltk, colossalai, compreface, cornac, cortex, face_recognition, feast, igel, lightwood, mindsdb, mlflow, open-webui, pydantic, ray, retro, superset"
327,base,1389,Incorrect Parsing of Numbers with Different Radices,8,18,"tensorflow, tensorflow-gpu","aim, compreface, cornac, igel, neuroner, nn_builder"
328,base,1392,Use of Default Credentials,3,10,"joserfc, mlflow","feast, mlflow, ray"
329,base,1420,Exposure of Sensitive Information during Transient Execution,6,6,urllib3,"compreface, igel, ray, zipline"
330,base,1427,Improper Neutralization of Input Used for LLM Prompting,35,36,"deepspeed, gitpython, gradio, mlflow, pip, torch, virtualenv","aim, backprop, chemicalx, cltk, colossalai, compreface, cortex, determined, face_recognition, feast, gradio, igel, mlflow, nn_builder, open-webui, ray, retro"
331,base,1429,Missing Security-Relevant Feedback for Unexecuted Operations in Hardware Interface,2,2,cryptography,"evidently, ray"
332,base,1431,Driving Intermediate Cryptographic State/Results to Hardware Module Outputs,146,212,"aiohttp, gitpython, gradio, mlflow, requests, tornado, urllib3","aim, altair, bentoml, blaze, bokeh, catboost, cleanlab, cltk, colossalai, compreface, cortex, danswerai, dash, deepface, detectron2, determined, digits, evidently, feast, gan, gradio, igel, jax, joligen, langflow, lightgbm, lightwood, machine-learning, mindsdb, mlflow, open-metric-learning, open-webui, pyss3, pysyft, pytorch-lightning, pytorch_geometric, ray, rep, sinabs, skbel, spacy, streamlit, superset, transformers, zipline"
333,base,1434,Insecure Setting of Generative AI/ML Model Inference Parameters,49,58,"aiohttp, pillow, tensorflow, tensorflow-gpu, torch","aim, backprop, chemicalx, cleanlab, colossalai, compreface, cornac, cortex, determined, gradio, igel, joligen, lightwood, mindsdb, neuroner, nn_builder, open-webui, ray, tpot, zipline"
334,category,19,Data Processing Errors,64,154,"aiohttp, docling, flask-cors, fonttools, gradio, httplib2, jupyter-server, jupyterlab, jwcrypto, lxml, notebook, oauthlib, pillow, pypdf, tornado, unstructured, urllib3","altair, blaze, cltk, colossalai, compreface, digits, evidently, face_recognition, feast, igel, langflow, lightwood, matplotlib, mindsdb, mlflow, open-webui, ray, rep, seaborn, skbel, superset, transformers, zipline"
335,category,133,String Errors,4,3,"jinja2, tensorflow","blaze, compreface, neuroner"
336,category,136,Type Errors,74,80,"cryptography, tensorflow, tensorflow-gpu, uv","aim, compreface, cornac, face_recognition, igel, neuroner, nn_builder, ray"
