,repo_name,counts
0,AutoViz,4
1,Auto_ViML,4
2,ColossalAI,4
3,DIGITS,11
4,LightGBM,2
5,PySyft,1
6,ViZDoom,1
7,aim,5
8,bentoml,3
9,blaze,2
10,bokeh,1
11,catboost,2
12,danswerai,9
13,dash,1
14,deepface,12
15,detectron2,2
16,determined,2
17,face_recognition,4
18,feast,2
19,gan,1
20,gradio,2
21,jax,1
22,joliGEN,1
23,langflow,25
24,machine-learning,7
25,mindsdb,2
26,mlflow,3
27,nalp,1
28,numpy,1
29,open-metric-learning,1
30,open-webui,7
31,pattern,1
32,pyss3,1
33,pytensor,1
34,pytorch,1
35,pytorch-lightning,1
36,pytorch_geometric,16
37,rasa,4
38,ray,40
39,sinabs,1
40,spaCy,1
41,spammy,1
42,streamlit,1
43,superset,8
44,transformers,2
