,rule.tags,rule.security_severity_level,rule.name,rule.description,counts
0,['cwe-020'],medium,py/cookie-injection,Construction of a cookie using user-supplied input,4
1,['cwe-020'],medium,py/overly-large-range,Overly permissive regular expression range,34
2,['cwe-1004'],medium,py/client-exposed-cookie,Sensitive cookie missing `HttpOnly` attribute,2
3,['cwe-200'],medium,py/bind-socket-all-network-interfaces,Binding a socket to all network interfaces,59
4,"['cwe-209', 'cwe-497']",medium,py/stack-trace-exposure,Information exposure through an exception,88
5,['cwe-601'],medium,py/url-redirection,URL redirection from remote source,14
6,['cwe-614'],medium,py/insecure-cookie,Failure to use secure cookies,2
