repo,in_scope,top_language,dependabot_updates_ran,dependabot_updates_status,dependabot_updates_date,dependency_graph_ran,dependency_graph_status,dependency_graph_date,reason
Auto_ViML,yes,Python,yes,success,2026-08-14T16:26:20Z,yes,success,2026-08-14T15:50:05Z,ok
pytorch-frame,yes,Python,failed,failure,2026-08-15T10:17:41Z,yes,success,2026-08-14T16:00:44Z,ok
scikit-opt,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:20:12Z,ok
einops,yes,Python,not-provisioned,n/a,,yes,success,2026-08-14T16:07:49Z,ok
emcee,yes,Python,not-provisioned,n/a,,yes,success,2026-08-14T15:53:46Z,ok
pytorch_geometric_temporal,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:20:55Z,ok
python-timbl,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:19:25Z,ok
catboost,yes,Python,failed,failure,2026-08-17T05:23:36Z,yes,success,2026-08-16T01:15:46Z,ok
skorch,yes,Python,failed,failure,2026-02-05T21:34:23Z,yes,success,2026-08-14T15:45:10Z,ok
CompreFace,yes,Python,yes,success,2026-08-15T10:19:07Z,not-provisioned,n/a,,ok
alibi-detect,yes,Python,yes,success,2026-08-14T16:35:57Z,yes,success,2026-08-16T01:15:22Z,ok
pytensor,yes,Python,not-provisioned,n/a,,yes,success,2026-08-14T15:53:41Z,ok
tflearn,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:22:25Z,ok
scikit-plot,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:17:00Z,ok
pebl,yes,Python,not-provisioned,n/a,,yes,success,2026-08-15T14:47:35Z,ok
pytorch-lightning,yes,Python,yes,success,2026-08-15T10:10:46Z,yes,success,2026-08-14T15:51:22Z,ok
python-frog,yes,Python,not-provisioned,n/a,,yes,success,2026-08-14T16:00:41Z,ok
synthia,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:22:30Z,ok
mlflow,yes,Python,yes,success,2026-08-14T17:15:26Z,yes,success,2026-08-15T19:41:11Z,ok
cornac,yes,Python,yes,success,2026-08-16T01:14:04Z,yes,success,2026-08-16T01:13:52Z,ok
DI-engine,yes,Python,failed,failure,2026-08-15T10:19:45Z,yes,success,2026-08-16T01:18:25Z,ok
face_recognition,yes,Python,yes,success,2026-08-15T09:02:51Z,yes,success,2026-08-16T01:17:56Z,ok
zipline,yes,Python,yes,success,2026-08-15T10:20:17Z,not-provisioned,n/a,,ok
detecto,yes,Python,yes,success,2026-08-16T01:08:46Z,yes,success,2026-08-16T01:13:51Z,ok
streamlit,yes,Python,failed,failure,2026-08-15T10:21:44Z,yes,success,2026-08-14T15:59:49Z,ok
matplotlib,yes,Python,yes,success,2026-08-15T10:20:55Z,yes,success,2026-08-14T15:53:07Z,ok
lifelines,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:15:41Z,ok
lightwood,yes,Python,yes,success,2026-08-15T10:27:39Z,yes,success,2026-08-14T16:01:36Z,ok
ViZDoom,yes,Python,not-provisioned,n/a,,yes,success,2026-08-14T16:05:32Z,ok
xgboost,yes,Python,yes,success,2026-08-14T17:02:51Z,yes,success,2026-08-16T01:23:18Z,ok
feast,yes,Python,yes,success,2026-08-16T01:10:59Z,yes,success,2026-08-16T01:19:56Z,ok
ipychart,yes,Python,yes,success,2026-08-14T16:56:54Z,yes,success,2026-08-14T15:58:35Z,ok
altair,yes,Python,yes,success,2026-08-14T21:30:07Z,yes,success,2026-08-14T15:52:16Z,ok
nupic.studio,yes,Python,failed,failure,2026-08-15T00:09:51Z,yes,success,2026-08-16T01:16:15Z,ok
pomegranate,yes,Python,not-provisioned,n/a,,yes,success,2026-08-14T16:01:30Z,ok
nut,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:17:43Z,ok
pytorch_geometric,yes,Python,yes,success,2026-08-16T01:10:37Z,yes,success,2026-08-16T01:23:27Z,ok
joliGEN,yes,Python,yes,success,2026-08-15T10:24:09Z,yes,success,2026-08-14T15:56:42Z,ok
pynlpl,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:20:25Z,ok
jellyfish,yes,Python,yes,success,2026-08-15T13:38:38Z,yes,success,2026-08-14T15:48:41Z,ok
stacked_generalization,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:19:18Z,ok
shapley,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:17:26Z,ok
LightGBM,yes,Python,yes,success,2026-08-16T01:08:59Z,yes,success,2026-08-16T01:20:05Z,ok
detectron2,yes,Python,yes,success,2026-08-15T09:01:39Z,yes,success,2026-08-16T01:14:33Z,ok
imbalanced-ensemble,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:18:38Z,ok
skbel,yes,Python,failed,failure,2026-08-15T10:26:35Z,yes,success,2026-08-14T16:03:39Z,ok
aim,yes,Python,yes,success,2026-08-15T10:38:00Z,yes,success,2026-08-14T16:09:10Z,ok
ray,yes,Python,failed,failure,2026-08-14T19:33:06Z,yes,success,2026-08-14T15:46:04Z,ok
stanford-corenlp-python,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:07:16Z,ok
scikit-learn,yes,Python,yes,success,2026-08-14T17:07:46Z,yes,success,2026-08-14T16:11:11Z,ok
crab,yes,Python,yes,success,2026-08-14T19:42:57Z,not-provisioned,n/a,,ok
autogluon,yes,Python,yes,success,2026-08-15T10:24:44Z,yes,success,2026-08-14T16:14:03Z,ok
neurolab,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:17:47Z,ok
statsmodels,yes,Python,not-provisioned,n/a,,yes,success,2026-08-14T16:06:57Z,ok
Lasagne,yes,Python,failed,failure,2026-08-15T10:26:52Z,yes,success,2026-08-16T01:17:31Z,ok
Sklearn-genetic-opt,yes,Python,yes,success,2026-08-14T16:19:18Z,yes,success,2026-08-14T16:02:32Z,ok
shogun,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:21:57Z,ok
pytesseract,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:22:14Z,ok
sentiment-analyzer,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:12:11Z,ok
retro,yes,Python,yes,success,2026-08-15T10:32:51Z,yes,success,2026-08-16T01:23:27Z,ok
sequitur,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:23:20Z,ok
rexmex,yes,Python,not-provisioned,n/a,,yes,success,2026-08-16T01:18:22Z,ok
topicwizard,yes,Python,failed,failure,2026-07-23T01:44:40Z,yes,success,2026-08-14T15:57:28Z,ok
neofuzz,yes,Python,failed,failure,2026-08-16T01:16:59Z,yes,success,2026-08-16T01:15:56Z,ok
segmentation_models.pytorch,yes,Python,not-provisioned,n/a,,yes,success,2026-08-14T16:05:03Z,ok
