,type,id,description,cwe_counts,libraries,repos
238,base,1256,Improper Restriction of Software Interfaces to Hardware Features,9,"apache-airflow, gradio","colossalai, evidently, ray"
239,base,1257,Improper Access Control Applied to Mirrored or Aliased Memory Regions,54,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow, protobuf, tensorflow","bigartm, blaze, compreface, cornac, digits, evidently, igel, mindsdb, mlflow, neuroner, nn_builder, ray, zipline"
240,base,1258,Exposure of Sensitive System Information Due to Uncleared Debug Information,125,"apache-airflow, flask-appbuilder, gradio, jupyterlab, mlflow, requests, restrictedpython, sentry-sdk, urllib3","aim, bentoml, bokeh, catboost, cleanlab, colossalai, compreface, cortex, detectron2, determined, evidently, feast, gan, gradio, igel, lightgbm, lightly, minigrad, mlflow, pyss3, pytorch, pytorch-lightning, pytorch_geometric, rasa, ray, rep, sinabs, skbel, spacy, superset, zipline"
241,base,1259,Improper Restriction of Security Token Assignment,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
242,base,1260,Improper Handling of Overlap Between Protected Memory Ranges,54,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow, protobuf, tensorflow","bigartm, blaze, compreface, cornac, digits, evidently, igel, mindsdb, mlflow, neuroner, nn_builder, ray, zipline"
243,base,1262,Improper Access Control for Register Interface,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
244,base,1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls,87,"tensorflow, torch","aim, backprop, cleanlab, colossalai, compreface, cornac, cortex, deepchecks, deeppavlov, detecto, determined, garage, gradio, igel, lightly, mindsdb, minigrad, neuroner, nn_builder, open-metric-learning, ray, sinabs, tpot, transformers"
245,base,1267,Policy Uses Obsolete Encoding,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
246,base,1268,Policy Privileges are not Assigned Consistently Between Control and Data Agents,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
247,base,1269,Product Released in Non-Release Configuration,43,jinja2,"blaze, catalyst, cleanlab, cltk, compreface, couler, dl-translate, feast, gradio, igel, joligen, lasagne, lightwood, litellm, maze, minigrad, mlflow, pomegranate, pytorch, rasa, ray, river, scikit-learn-intelex, sinabs, skbel, statsmodels, transformers, zipline"
248,base,1270,Generation of Incorrect Security Tokens,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
249,base,1272,Sensitive Information Uncleared Before Debug/Power State Transition,125,"apache-airflow, flask-appbuilder, gradio, jupyterlab, mlflow, requests, restrictedpython, sentry-sdk, urllib3","aim, bentoml, bokeh, catboost, cleanlab, colossalai, compreface, cortex, detectron2, determined, evidently, feast, gan, gradio, igel, lightgbm, lightly, minigrad, mlflow, pyss3, pytorch, pytorch-lightning, pytorch_geometric, rasa, ray, rep, sinabs, skbel, spacy, superset, zipline"
250,base,1273,Device Unlock Credential Sharing,125,"apache-airflow, flask-appbuilder, gradio, jupyterlab, mlflow, requests, restrictedpython, sentry-sdk, urllib3","aim, bentoml, bokeh, catboost, cleanlab, colossalai, compreface, cortex, detectron2, determined, evidently, feast, gan, gradio, igel, lightgbm, lightly, minigrad, mlflow, pyss3, pytorch, pytorch-lightning, pytorch_geometric, rasa, ray, rep, sinabs, skbel, spacy, superset, zipline"
251,base,1274,Improper Access Control for Volatile Memory Containing Boot Code,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
252,base,1276,Hardware Child Block Incorrectly Connected to Parent System,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
253,base,1278,Missing Protection Against Hardware Reverse Engineering Using Integrated Circuit (IC) Imaging Techniques,43,jinja2,"blaze, catalyst, cleanlab, cltk, compreface, couler, dl-translate, feast, gradio, igel, joligen, lasagne, lightwood, litellm, maze, minigrad, mlflow, pomegranate, pytorch, rasa, ray, river, scikit-learn-intelex, sinabs, skbel, statsmodels, transformers, zipline"
254,base,1279,Cryptographic Operations are run Before Supporting Units are Ready,23,"pillow, tensorflow","compreface, cornac, igel, lightly, matplotlib, neuroner, nn_builder, nupic.studio, stellargraph, zipline"
255,base,1280,Access Control Check Implemented After Asset is Accessed,19,"apache-airflow, dnspython, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, rasa, ray, zipline"
256,base,1282,Assumed-Immutable Data is Stored in Writable Memory,17,"apache-airflow, dask, mlflow, tensorflow","blaze, compreface, cornac, evidently, igel, mlflow, neuroner, nn_builder, ray"
257,base,1283,Mutable Attestation or Measurement Reporting Data,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
258,base,1284,Improper Validation of Specified Quantity in Input,1110,"aiohttp, apache-airflow, flask, gitpython, gradio, grpcio, ipython, litellm, mlflow, oauthlib, pip, pyyaml, tensorflow, werkzeug","aim, auto_viml, autoviz, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, danswerai, evidently, gradio, igel, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, skbel, spammy, stellargraph, tensorflow, vizdoom, zipline"
259,base,1285,"Improper Validation of Specified Index, Position, or Offset in Input",553,"aiohttp, apache-airflow, flask, gitpython, gradio, ipython, litellm, mlflow, oauthlib, pip, pyyaml, tensorflow, werkzeug","aim, auto_viml, autoviz, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, danswerai, evidently, gradio, igel, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, skbel, spammy, stellargraph, vizdoom, zipline"
260,base,1286,Improper Validation of Syntactic Correctness of Input,553,"aiohttp, apache-airflow, flask, gitpython, gradio, ipython, litellm, mlflow, oauthlib, pip, pyyaml, tensorflow, werkzeug","aim, auto_viml, autoviz, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, danswerai, evidently, gradio, igel, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, skbel, spammy, stellargraph, vizdoom, zipline"
261,base,1287,Improper Validation of Specified Type of Input,597,"aiohttp, apache-airflow, cryptography, flask, gitpython, gradio, ipython, litellm, mlflow, oauthlib, pip, pyyaml, tensorflow, werkzeug","aim, auto_viml, autoviz, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, danswerai, evidently, face_recognition, gradio, igel, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, skbel, spammy, stellargraph, superset, vizdoom, zipline"
262,base,1288,Improper Validation of Consistency within Input,553,"aiohttp, apache-airflow, flask, gitpython, gradio, ipython, litellm, mlflow, oauthlib, pip, pyyaml, tensorflow, werkzeug","aim, auto_viml, autoviz, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, danswerai, evidently, gradio, igel, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, skbel, spammy, stellargraph, vizdoom, zipline"
263,base,1289,Improper Validation of Unsafe Equivalence in Input,553,"aiohttp, apache-airflow, flask, gitpython, gradio, ipython, litellm, mlflow, oauthlib, pip, pyyaml, tensorflow, werkzeug","aim, auto_viml, autoviz, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, danswerai, evidently, gradio, igel, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, skbel, spammy, stellargraph, vizdoom, zipline"
264,base,1290,Incorrect Decoding of Security Identifiers,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
265,base,1291,Public Key Re-Use for Signing both Debug and Production Code,43,jinja2,"blaze, catalyst, cleanlab, cltk, compreface, couler, dl-translate, feast, gradio, igel, joligen, lasagne, lightwood, litellm, maze, minigrad, mlflow, pomegranate, pytorch, rasa, ray, river, scikit-learn-intelex, sinabs, skbel, statsmodels, transformers, zipline"
266,base,1292,Incorrect Conversion of Security Identifiers,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
267,base,1293,Missing Source Correlation of Multiple Independent Data,69,"certifi, gradio, paramiko, pillow, tensorflow","cltk, colossalai, compreface, cornac, evidently, feast, gradio, igel, lightly, lightwood, matplotlib, minigrad, mlflow, neuroner, nn_builder, nupic.studio, pytorch, rasa, ray, retro, river, scikit-learn-intelex, sinabs, skbel, stellargraph, tensorflow, transformers, zipline"
268,base,1295,Debug Messages Revealing Unnecessary Information,206,"apache-airflow, flask-appbuilder, gradio, jupyter-server, jupyterlab, mlflow, requests, restrictedpython, sentry-sdk, urllib3","aim, bentoml, blaze, bokeh, catboost, cleanlab, colossalai, compreface, cortex, danswerai, deepface, detectron2, determined, digits, evidently, feast, gan, gradio, igel, joligen, lightgbm, lightly, litellm, machine-learning, mindsdb, minigrad, mlflow, open-webui, pyss3, pytorch, pytorch-lightning, pytorch_geometric, rasa, ray, rep, sinabs, skbel, spacy, superset, zipline"
269,base,1296,Incorrect Chaining or Granularity of Debug Components,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
270,base,1297,Unprotected Confidential Information on Device is Accessible by OSAT Vendors,9,"apache-airflow, gradio","colossalai, evidently, ray"
271,base,1298,Hardware Logic Contains Race Conditions,10,"azure-identity, gradio","colossalai, feast, mlflow, ray"
272,base,1300,Improper Protection of Physical Side Channels,30,"cryptography, ecdsa, flask-appbuilder, gradio","colossalai, face_recognition, igel, rasa, ray, superset"
273,base,1303,Non-Transparent Sharing of Microarchitectural Resources,15,"cryptography, ecdsa, flask-appbuilder, gradio","colossalai, face_recognition, igel, rasa, ray, superset"
274,base,1304,Improperly Preserved Integrity of Hardware Configuration State During a Power Save/Restore Operation,86,"apache-airflow, certifi, flask-cors, gradio, jupyter-server, litellm, mlflow, paramiko, pillow, tensorflow","blaze, cltk, colossalai, compreface, cornac, evidently, feast, gradio, igel, lightly, lightwood, matplotlib, mindsdb, minigrad, mlflow, neuroner, nn_builder, nupic.studio, pytorch, rasa, ray, retro, river, scikit-learn-intelex, sinabs, skbel, stellargraph, tensorflow, transformers, zipline"
275,base,1311,Improper Translation of Security Attributes by Fabric Bridge,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
276,base,1312,Missing Protection for Mirrored Regions in On-Chip Fabric Firewall,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
277,base,1313,Hardware Allows Activation of Test or Debug Logic at Runtime,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
278,base,1314,Missing Write Protection for Parametric Data Values,4,"apache-airflow, litellm, ray","evidently, mindsdb"
279,base,1315,Improper Setting of Bus Controlling Capability in Fabric End-point,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
280,base,1316,Fabric-Address Map Allows Programming of Unwarranted Overlaps of Protected and Unprotected Ranges,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
281,base,1317,Improper Access Control in Fabric Bridge,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
282,base,1318,Missing Support for Security Features in On-chip Fabrics or Buses,43,jinja2,"blaze, catalyst, cleanlab, cltk, compreface, couler, dl-translate, feast, gradio, igel, joligen, lasagne, lightwood, litellm, maze, minigrad, mlflow, pomegranate, pytorch, rasa, ray, river, scikit-learn-intelex, sinabs, skbel, statsmodels, transformers, zipline"
283,base,1319,Improper Protection against Electromagnetic Fault Injection (EM-FI),43,jinja2,"blaze, catalyst, cleanlab, cltk, compreface, couler, dl-translate, feast, gradio, igel, joligen, lasagne, lightwood, litellm, maze, minigrad, mlflow, pomegranate, pytorch, rasa, ray, river, scikit-learn-intelex, sinabs, skbel, statsmodels, transformers, zipline"
284,base,1320,Improper Protection for Outbound Error Messages and Alert Signals,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
285,base,1322,"Use of Blocking Code in Single-threaded, Non-blocking Context",26,"aim, aiohttp, numpy, pillow, pygments, pypdf, tensorflow","blaze, colossalai, compreface, cornac, lightly, matplotlib, minigrad, neuroner, nn_builder, nupic.studio, pix2pix-keras, pytorch-lightning, rasa, ray, sparklingpandas, stellargraph, suiron, transformers, zipline"
286,base,1323,Improper Management of Sensitive Trace Data,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
287,base,1325,Improperly Controlled Sequential Memory Allocation,442,"cryptography, grpcio, litestar, lxml, numpy, pillow, protobuf, python-multipart, starlette, tensorflow, tornado, werkzeug","aim, bigartm, blaze, cltk, compreface, cornac, danswerai, digits, evidently, face_recognition, fastapi, feast, gradio, igel, lightly, litellm, matplotlib, mindsdb, minigrad, mlflow, neuroner, nn_builder, nupic.studio, pix2pix-keras, prodmodel, pytorch-lightning, rasa, ray, river, scikit-learn-intelex, scikit-multiflow, skbel, sparklingpandas, stellargraph, suiron, superset, tensorflow, transformers, zipline"
288,base,1326,Missing Immutable Root of Trust in Hardware,43,jinja2,"blaze, catalyst, cleanlab, cltk, compreface, couler, dl-translate, feast, gradio, igel, joligen, lasagne, lightwood, litellm, maze, minigrad, mlflow, pomegranate, pytorch, rasa, ray, river, scikit-learn-intelex, sinabs, skbel, statsmodels, transformers, zipline"
289,base,1327,Binding to an Unrestricted IP Address,14,"apache-airflow, dask, mlflow, tensorflow","blaze, compreface, cornac, evidently, igel, mlflow, neuroner, nn_builder, ray"
290,base,1328,Security Version Number Mutable to Older Versions,9,"apache-airflow, gradio","colossalai, evidently, ray"
291,base,1331,Improper Isolation of Shared Resources in Network On Chip (NoC),14,"apache-airflow, dask, mlflow, tensorflow","blaze, compreface, cornac, evidently, igel, mlflow, neuroner, nn_builder, ray"
292,base,1334,Unauthorized Error Injection Can Degrade Hardware Redundancy,17,"apache-airflow, flask-cors, jupyter-server, litellm, mlflow","blaze, evidently, mindsdb, mlflow, ray, zipline"
293,base,1335,Incorrect Bitwise Shift of Integer,7,tensorflow,"compreface, cornac, igel, neuroner, nn_builder"
294,base,1336,Improper Neutralization of Special Elements Used in a Template Engine,97,"aim, apache-airflow, gitpython, joblib, keras, litellm, llama-index, mlflow, numexpr, pillow, pytorch-lightning, setuptools, sqlitedict, tensorflow","aim, blaze, cltk, compreface, cornac, danswerai, determined, di-engine, digits, evidently, feast, gradio, igel, jax, lightly, lightwood, matplotlib, mindsdb, minigrad, mlflow, neuroner, nn_builder, nupic.studio, open-webui, pix2pix-keras, pytorch, pytorch-lightning, rasa, ray, retro, river, skbel, stellargraph, tensorflow, transformers, typer, zipline"
295,base,1338,Improper Protections Against Hardware Overheating,43,jinja2,"blaze, catalyst, cleanlab, cltk, compreface, couler, dl-translate, feast, gradio, igel, joligen, lasagne, lightwood, litellm, maze, minigrad, mlflow, pomegranate, pytorch, rasa, ray, river, scikit-learn-intelex, sinabs, skbel, statsmodels, transformers, zipline"
296,base,1339,Insufficient Precision or Accuracy of a Real Number,272,"protobuf, tensorflow, tensorflow-cpu","aim, bigartm, compreface, cornac, determined, digits, igel, mlflow, neuroner, nn_builder, rasa, ray, transformers"
297,base,1341,Multiple Releases of Same Resource or Handle,14,"psutil, tensorflow","aim, blaze, compreface, cornac, igel, neuroner, nn_builder, ray"
298,base,1389,Incorrect Parsing of Numbers with Different Radices,18,tensorflow,"aim, compreface, cornac, igel, neuroner, nn_builder, ray"
299,base,1420,Exposure of Sensitive Information during Transient Execution,35,urllib3,"cltk, compreface, evidently, feast, gradio, igel, lightly, lightwood, minigrad, mlflow, pytorch, rasa, ray, river, scikit-learn-intelex, sinabs, skbel, tensorflow, transformers, zipline"
300,base,1427,Improper Neutralization of Input Used for LLM Prompting,64,"celery, deepspeed, gradio, mlflow, pip, torch","aim, backprop, colossalai, compreface, cortex, deepchecks, detecto, determined, evidently, face_recognition, garage, gradio, igel, lightly, minigrad, mlflow, nn_builder, pytorch-lightning, ray, retro, sinabs, superset"
301,category,19,Data Processing Errors,52,"flask-appbuilder, fonttools, gradio, jupyter-server, notebook, oauthlib, pillow, tornado, unstructured","catboost, colossalai, compreface, digits, face_recognition, igel, lightly, matplotlib, minigrad, nupic.studio, rasa, ray, rep, skbel, stellargraph, superset, zipline"
302,category,133,String Errors,4,"jinja2, tensorflow","blaze, compreface, lasagne, neuroner"
303,category,136,Type Errors,77,"cryptography, tensorflow","aim, compreface, cornac, face_recognition, igel, neuroner, nn_builder, ray, superset"
304,category,137,Data Neutralization Issues,272,"aim, aiohttp, apache-airflow, bleach, celery, flask-cors, gitpython, gradio, gunicorn, ipython, jinja2, joblib, jupyter-server, jupyterlab, keras, langchain, litellm, llama-index, lxml, mlflow, nbconvert, notebook, numexpr, pillow, pymysql, pytorch-lightning, ray, readthedocs-sphinx-search, setuptools, sqlalchemy, sqlitedict, tensorflow, tornado","aim, blaze, catalyst, cleanlab, cltk, colossalai, compreface, cornac, couler, danswerai, deepface, determined, di-engine, digits, dl-translate, evidently, feast, gradio, igel, jax, joligen, lasagne, lightly, lightwood, machine-learning, matplotlib, maze, mindsdb, minigrad, mlflow, neuroner, nn_builder, nupic.studio, open-webui, pix2pix-keras, pomegranate, pytorch, pytorch-lightning, pytorchcv, rasa, ray, rep, retro, river, scikit-learn-intelex, sinabs, skbel, statsmodels, stellargraph, superset, tensorflow, transformers, typer, zipline"
305,category,189,Numeric Errors,514,"lmdb, redis, tensorflow, tensorflow-cpu","aim, compreface, cornac, determined, digits, igel, mlflow, neuroner, nn_builder, rasa, ray, transformers"
306,category,199,Information Management Errors,552,"apache-airflow, cryptography, ecdsa, flask-appbuilder, gradio, jupyter-server, scikit-learn","aim, auto_viml, blaze, bokeh, caffe, catboost, cltk, colossalai, compreface, cortex, danswerai, deepchecks, deepface, deeppavlov, determined, di-engine, digits, evidently, face_recognition, feast, gensim, hyperopt-sklearn, igel, joligen, langflow, lightly, lightning-bolts, lightwood, litellm, machine-learning, mindsdb, minigrad, miraiml, mlens, mlflow, neofuzz, neuroner, open-webui, pytorch, pytorch-lightning, rasa, ray, rep, river, scikit-learn-intelex, scikit-survival, skbel, skll, sktime, snips-nlu, streamlit, suiron, superset, transformers, typer, xcessiv, xgboost"
307,category,227,7PK - API Abuse,15,"apache-airflow, grpcio, ipython, jupyter-core, pillow, tensorflow","compreface, evidently, igel, lightly, matplotlib, minigrad, nupic.studio, ray, skbel, stellargraph, transformers, zipline"
308,category,254,7PK - Security Features,183,"apache-airflow, flask-cors, gradio, jupyter-server, litellm, mlflow","aim, blaze, bokeh, catboost, colossalai, cortex, determined, di-engine, evidently, feast, langflow, litellm, mindsdb, mlflow, open-webui, ray, streamlit, typer, xgboost, zipline"
309,category,255,Credentials Management Errors,13,flask-appbuilder,"catboost, couler, determined, litellm, ray, streamlit, superset"
310,category,265,Privilege Issues,8,"apache-airflow, ipython, jupyter-core","evidently, igel, minigrad, skbel, stellargraph, transformers"
311,category,275,Permission Issues,13,"apache-airflow, ipython, langchain-experimental, mlflow","colossalai, evidently, igel, minigrad, mlflow, ray, stellargraph"
312,category,310,Cryptographic Issues,26,"flask-appbuilder, werkzeug","blaze, catboost, couler, determined, litellm, ray, streamlit, superset"
313,category,361,7PK - Time and State,66,"apache-airflow, gradio, mlflow, tensorflow, transformers","backprop, catboost, colossalai, compreface, cornac, cortex, deeppavlov, determined, di-engine, evidently, gensim, igel, lightly, mindsdb, mlflow, neuroner, nn_builder, nut, python-timbl, pytorch, rasa, ray, shogun, tensorflow, transformers"
314,category,389,"Error Conditions, Return Values, Status Codes",582,"flask-appbuilder, grpcio, jupyter-server, pillow, tensorflow","aim, blaze, catboost, colossalai, compreface, cornac, danswerai, deepface, digits, evidently, igel, joligen, lightly, litellm, machine-learning, matplotlib, mindsdb, neuroner, nn_builder, nupic.studio, open-webui, pytorch, ray, stellargraph, superset, tensorflow, zipline"
315,category,398,7PK - Code Quality,496,"cryptography, lxml, mlflow, numpy, protobuf, psutil, tensorflow, torch","aim, backprop, bigartm, blaze, cleanlab, colossalai, compreface, cornac, cortex, deepchecks, deeppavlov, detecto, determined, digits, evidently, face_recognition, garage, gradio, igel, lightly, mindsdb, minigrad, mlflow, neuroner, nn_builder, open-metric-learning, pix2pix-keras, prodmodel, rasa, ray, scikit-multiflow, sinabs, sparklingpandas, suiron, superset, tpot, transformers, zipline"
316,category,399,Resource Management Errors,381,"apache-airflow, grpcio, h2o, lightning, litestar, llama-hub, mlflow, nltk, numpy, pillow, pyarrow, python-multipart, pytorch-lightning, pyyaml, scikit-learn, sqlitedict, starlette, tensorflow, tornado, transformers, werkzeug","aim, backprop, bentoml, blaze, cltk, colossalai, compreface, cornac, cortex, danswerai, deepchecks, deepface, deeppavlov, determined, digits, evidently, fastapi, feast, fedot, gensim, gradio, igel, joligen, lightly, lightwood, litellm, mars, matplotlib, mindsdb, minigrad, mlens, mlflow, neuroner, nn_builder, nupic.studio, open-webui, petrel, pix2pix-keras, pytorch-lightning, pytorchcv, rasa, ray, rep, river, scikit-learn-intelex, skbel, snips-nlu, spammy, sparklingpandas, stellargraph, streamlit, suiron, superset, tensorflow, transformers, xcessiv, zipline"
317,category,417,Communication Channel Errors,46,"apache-airflow, cryptography, ecdsa, gradio, langchain, litellm, mlflow, notebook","colossalai, cortex, danswerai, deepface, evidently, machine-learning, mindsdb, minigrad, mlflow, open-webui, ray, rep, superset"
318,category,429,Handler Errors,16,"lightning, mlflow, pygments","colossalai, determined, evidently, igel, minigrad, mlflow, ray, sinabs, skbel, stellargraph, zipline"
319,category,438,Behavioral Problems,56,"aim, aiohttp, grpcio, gunicorn, numpy, pillow, pygments, pypdf, tensorflow, tornado, uwsgi","blaze, cltk, colossalai, compreface, cornac, danswerai, feast, igel, lightly, lightwood, litellm, matplotlib, minigrad, mlflow, neuroner, nn_builder, nupic.studio, pix2pix-keras, pytorch-lightning, pytorchcv, rasa, ray, river, scikit-learn-intelex, skbel, sparklingpandas, stellargraph, suiron, superset, tensorflow, transformers, zipline"
320,category,452,Initialization and Cleanup Errors,2,redis,ray
321,category,465,Pointer Issues,435,"cryptography, lxml, numpy, protobuf, tensorflow","aim, bigartm, blaze, compreface, cornac, digits, face_recognition, igel, minigrad, neuroner, nn_builder, pix2pix-keras, prodmodel, rasa, ray, scikit-multiflow, sparklingpandas, suiron, superset, transformers, zipline"
322,category,485,7PK - Encapsulation,86,,"blaze, bokeh, caffe, catboost, colossalai, compreface, danswerai, deepface, digits, evidently, face_recognition, joligen, litellm, machine-learning, mindsdb, open-webui, pytorch, ray, superset, xcessiv"
323,category,557,Concurrency Issues,12,"gradio, tensorflow","colossalai, compreface, cornac, igel, neuroner, nn_builder, ray"
324,category,712,OWASP Top Ten 2007 Category A1 - Cross Site Scripting (XSS),130,"aim, aiohttp, apache-airflow, bleach, gradio, jinja2, jupyter-server, jupyterlab, lxml, mlflow, nbconvert, notebook, readthedocs-sphinx-search","blaze, catalyst, cleanlab, cltk, colossalai, compreface, cornac, couler, deepface, dl-translate, evidently, feast, gradio, igel, joligen, lasagne, machine-learning, maze, mindsdb, minigrad, mlflow, pomegranate, pytorch, pytorch-lightning, pytorchcv, rasa, ray, rep, river, sinabs, skbel, statsmodels, transformers, zipline"
325,category,713,OWASP Top Ten 2007 Category A2 - Injection Flaws,78,"celery, deepspeed, gradio, gunicorn, langchain, litellm, llama-index, mlflow, pip, pymysql, sqlalchemy, torch, tornado","aim, backprop, blaze, cltk, colossalai, compreface, cortex, danswerai, deepchecks, detecto, determined, evidently, face_recognition, feast, garage, gradio, igel, lightly, mindsdb, minigrad, mlflow, nn_builder, pytorch-lightning, pytorchcv, ray, retro, river, scikit-learn-intelex, sinabs, skbel, superset, transformers, zipline"
326,category,714,OWASP Top Ten 2007 Category A3 - Malicious File Execution,58,"celery, gitpython, ipython, lightning, mlflow, pillow, pygments, ray, tensorflow","cleanlab, colossalai, compreface, cornac, determined, evidently, gradio, igel, lightly, matplotlib, mindsdb, minigrad, mlflow, neuroner, nn_builder, nupic.studio, open-webui, pytorch-lightning, rasa, ray, sinabs, skbel, stellargraph, superset, typer, zipline"
327,category,715,OWASP Top Ten 2007 Category A4 - Insecure Direct Object Reference,193,"aiohttp, apache-airflow, babel, flask-cors, gitpython, gradio, langchain, mlflow, nltk, onnx, pillow, pip, ray, starlette, streamlit, werkzeug","aim, blaze, chainer, colossalai, compreface, danswerai, deepface, digits, evidently, feast, igel, joligen, lightly, litellm, matplotlib, mindsdb, mlflow, nupic.studio, open-webui, pytorch-lightning, pytorchcv, rasa, ray, retro, river, spammy, stellargraph, streamlit, tensorflow, transformers, xcessiv, zipline"
328,category,716,OWASP Top Ten 2007 Category A5 - Cross Site Request Forgery (CSRF),27,"aim, gradio, prefect, werkzeug","blaze, colossalai, compreface, evidently, igel, mindsdb, mlflow, rasa, ray, river, tensorflow, zipline"
329,category,717,OWASP Top Ten 2007 Category A6 - Information Leakage and Improper Error Handling,229,"apache-airflow, cryptography, ecdsa, flask-appbuilder, gradio, jupyter-server, jupyterlab, mlflow, requests, restrictedpython, sentry-sdk, urllib3","aim, bentoml, blaze, bokeh, caffe, catboost, cleanlab, colossalai, compreface, cortex, danswerai, deepface, detectron2, determined, digits, evidently, face_recognition, feast, gan, gradio, igel, joligen, lightgbm, lightly, litellm, machine-learning, mindsdb, minigrad, mlflow, open-webui, pyss3, pytorch, pytorch-lightning, pytorch_geometric, rasa, ray, rep, sinabs, skbel, spacy, superset, xcessiv, zipline"
330,category,718,OWASP Top Ten 2007 Category A7 - Broken Authentication and Session Management,4,"flask-appbuilder, requests","rep, superset"
331,category,719,OWASP Top Ten 2007 Category A8 - Insecure Cryptographic Storage,4,gradio,"colossalai, ray"
332,category,720,OWASP Top Ten 2007 Category A9 - Insecure Communications,4,gradio,"colossalai, ray"
333,category,721,OWASP Top Ten 2007 Category A10 - Failure to Restrict URL Access,11,"apache-airflow, gradio, notebook","colossalai, evidently, minigrad, ray, rep"
