,type,id,description,cwe_counts,libraries,repos
14,base,94,Improper Control of Generation of Code ('Code Injection'),83,"apache-airflow, langchain, lightning, lxml, mlflow, pillow, tqdm, urllib3","catboost, colossalai, compreface, cornac, danswerai, deeppavlov, determined, evidently, gradio, igel, lightly, matplotlib, mlflow, nupic.studio, open-webui, rasa, ray, river, skbel, stellargraph, typer, zipline"
15,base,96,Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection'),97,"aim, apache-airflow, gitpython, joblib, keras, litellm, llama-index, mlflow, numexpr, pillow, pytorch-lightning, setuptools, sqlitedict, tensorflow","aim, blaze, cltk, compreface, cornac, danswerai, determined, di-engine, digits, evidently, feast, gradio, igel, jax, lightly, lightwood, matplotlib, mindsdb, minigrad, mlflow, neuroner, nn_builder, nupic.studio, open-webui, pix2pix-keras, pytorch, pytorch-lightning, rasa, ray, retro, river, skbel, stellargraph, tensorflow, transformers, typer, zipline"
16,base,112,Missing XML Validation,557,"aiohttp, apache-airflow, flask, gitpython, gradio, ipython, litellm, mlflow, oauthlib, pip, protobuf, pyyaml, tensorflow, werkzeug","aim, auto_viml, autoviz, bigartm, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, danswerai, digits, evidently, gradio, igel, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, skbel, spammy, stellargraph, vizdoom, zipline"
17,base,117,Improper Output Neutralization for Logs,573,"aiohttp, apache-airflow, flask, gitpython, gradio, gunicorn, ipython, litellm, mlflow, oauthlib, pip, pyyaml, tensorflow, tornado, werkzeug","aim, auto_viml, autoviz, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, danswerai, deepface, evidently, feast, gradio, igel, machine-learning, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, river, scikit-learn-intelex, skbel, spammy, stellargraph, transformers, vizdoom, zipline"
18,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),788,"aiohttp, apache-airflow, flask, gitpython, gradio, ipython, litellm, mlflow, oauthlib, pip, protobuf, pyyaml, tensorflow, torch, werkzeug","aim, auto_viml, autoviz, backprop, bigartm, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deepchecks, deeppavlov, detecto, determined, digits, evidently, garage, gradio, igel, lightly, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, open-metric-learning, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, sinabs, skbel, spammy, stellargraph, tpot, transformers, vizdoom, zipline"
19,base,123,Write-what-where Condition,535,"jinja2, lmdb, numpy, opencv-python, pillow, protobuf, psutil, tensorflow, torch, werkzeug","aim, backprop, bigartm, blaze, cleanlab, colossalai, compreface, cornac, cortex, deepchecks, deeplake, deeppavlov, detecto, determined, digits, evidently, garage, gradio, igel, lasagne, lightly, matplotlib, mindsdb, minigrad, mlflow, modal, neuroner, nn_builder, nupic.studio, open-metric-learning, pix2pix-keras, prodmodel, rasa, ray, scikit-multiflow, sinabs, skbel, sparklingpandas, stellargraph, suiron, tpot, transformers, typer, zipline"
20,base,124,Buffer Underwrite ('Buffer Underflow'),247,"lmdb, opencv-python, pillow, protobuf, tensorflow, werkzeug","aim, bigartm, blaze, colossalai, compreface, cornac, digits, evidently, gradio, igel, lightly, matplotlib, mindsdb, mlflow, neuroner, nn_builder, nupic.studio, rasa, ray, skbel, stellargraph, transformers, zipline"
21,base,125,Out-of-bounds Read,219,"protobuf, tensorflow","bigartm, compreface, cornac, digits, igel, mlflow, neuroner, nn_builder, ray"
22,base,128,Wrap-around Error,272,"protobuf, tensorflow, tensorflow-cpu","aim, bigartm, compreface, cornac, determined, digits, igel, mlflow, neuroner, nn_builder, rasa, ray, transformers"
23,base,130,Improper Handling of Length Parameter Inconsistency,74,"protobuf, tensorflow","bigartm, compreface, cornac, digits, igel, mlflow, neuroner, nn_builder"
24,base,131,Incorrect Calculation of Buffer Size,65,"protobuf, tensorflow","bigartm, compreface, cornac, digits, igel, mlflow, neuroner, nn_builder"
25,base,134,Use of Externally-Controlled Format String,581,"aiohttp, apache-airflow, dask, flask, gitpython, gradio, ipython, litellm, mlflow, oauthlib, pip, pyyaml, tensorflow, werkzeug","aim, auto_viml, autoviz, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, danswerai, evidently, gradio, igel, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, skbel, spammy, stellargraph, vizdoom, zipline"
26,base,135,Incorrect Calculation of Multi-Byte String Length,7,tensorflow,"compreface, cornac, igel, neuroner, nn_builder"
27,base,170,Improper Null Termination,675,"aiohttp, apache-airflow, flask, gitpython, gradio, ipython, litellm, mlflow, numpy, oauthlib, pillow, pip, pyyaml, redis, tensorflow, werkzeug","aim, auto_viml, autoviz, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deeplake, digits, evidently, gradio, igel, lightly, matplotlib, mindsdb, minigrad, mlflow, modal, nalp, neuroner, nn_builder, numpy, nupic.studio, pattern, petrel, pix2pix-keras, prodmodel, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, scikit-multiflow, sinabs, skbel, spammy, sparklingpandas, stellargraph, suiron, transformers, typer, vizdoom, zipline"
28,base,179,Incorrect Behavior Order: Early Validation,555,"aiohttp, apache-airflow, dnspython, flask, gitpython, gradio, ipython, litellm, mlflow, oauthlib, pip, pyyaml, tensorflow, werkzeug","aim, auto_viml, autoviz, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, danswerai, evidently, gradio, igel, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, skbel, spammy, stellargraph, vizdoom, zipline"
29,base,182,Collapse of Data into Unsafe Value,45,jinja2,"blaze, catalyst, catboost, cleanlab, cltk, compreface, couler, dl-translate, feast, gradio, igel, joligen, lasagne, lightwood, litellm, maze, minigrad, mlflow, pomegranate, pytorch, rasa, ray, river, scikit-learn-intelex, sinabs, skbel, statsmodels, transformers, zipline"
30,base,183,Permissive List of Allowed Inputs,82,"lightning, mlflow, nltk, numpy, pygments, tensorflow","aim, blaze, colossalai, compreface, cornac, cortex, determined, digits, evidently, gensim, igel, lightly, minigrad, mlflow, modal, neuroner, nn_builder, pix2pix-keras, prodmodel, ray, scikit-multiflow, sinabs, skbel, spammy, sparklingpandas, stellargraph, suiron, zipline"
