,rule.tags,rule.security_severity_level,rule.name,rule.description,counts
0,"['cwe-094', 'cwe-095', 'cwe-116']",critical,py/code-injection,Code injection,1
1,['cwe-502'],critical,py/unsafe-deserialization,Deserialization of user-controlled data,3
2,['cwe-918'],critical,py/full-ssrf,Full server-side request forgery,7
