repo,url,fork_url,codeql_status,codeql_last_analysis,dependabot_status,dependabot_last_alert
Auto_ViML,https://github.com/AutoViML/Auto_ViML,https://github.com/fcas/Auto_ViML,200,2025-12-25T09:42:37Z,200,2024-06-18T01:14:53Z
pytorch-frame,https://github.com/pyg-team/pytorch-frame,https://github.com/fcas/pytorch-frame,200,2024-07-18T09:30:29Z,200,
scikit-opt,https://github.com/guofei9987/scikit-opt,https://github.com/fcas/scikit-opt,200,2024-07-18T09:34:51Z,200,
einops,https://github.com/arogozhnikov/einops,https://github.com/fcas/einops,200,2024-07-18T09:34:39Z,200,
emcee,https://github.com/dfm/emcee,https://github.com/fcas/emcee,200,2024-07-25T09:35:19Z,200,
pytorch_geometric_temporal,https://github.com/benedekrozemberczki/pytorch_geometric_temporal,https://github.com/fcas/pytorch_geometric_temporal,200,2024-07-18T09:40:39Z,200,
python-timbl,https://github.com/proycon/python-timbl,https://github.com/fcas/python-timbl,200,2024-07-18T09:34:38Z,200,
catboost,https://github.com/catboost/catboost,https://github.com/fcas/catboost,200,2025-12-25T10:07:14Z,200,
skorch,https://github.com/skorch-dev/skorch,https://github.com/fcas/skorch,200,2024-07-25T09:38:58Z,200,2026-02-05T21:33:34Z
CompreFace,https://github.com/exadel-inc/CompreFace,https://github.com/fcas/CompreFace,200,2024-10-31T09:33:24Z,200,2026-08-06T02:06:00Z
alibi-detect,https://github.com/SeldonIO/alibi-detect,https://github.com/fcas/alibi-detect,200,2025-12-25T09:40:07Z,200,2026-07-23T08:06:57Z
pytensor,https://github.com/pymc-devs/pytensor,https://github.com/fcas/pytensor,200,2026-04-19T10:14:16Z,200,
tflearn,https://github.com/tflearn/tflearn,https://github.com/fcas/tflearn,200,2024-07-18T09:34:04Z,200,
scikit-plot,https://github.com/reiinakano/scikit-plot,https://github.com/fcas/scikit-plot,200,2024-07-25T09:31:32Z,200,
pebl,https://github.com/abhik/pebl,https://github.com/fcas/pebl,200,2024-07-18T09:35:19Z,200,
pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/fcas/pytorch-lightning,200,2024-07-18T09:31:23Z,200,2026-08-11T02:21:08Z
python-frog,https://github.com/proycon/python-frog,https://github.com/fcas/python-frog,200,2024-07-18T09:36:39Z,200,
synthia,https://github.com/dmey/synthia,https://github.com/fcas/synthia,200,2024-07-25T09:37:07Z,200,
mlflow,https://github.com/mlflow/mlflow,https://github.com/fcas/mlflow,200,2026-03-26T10:17:31Z,200,2026-08-14T04:11:02Z
cornac,https://github.com/PreferredAI/cornac,https://github.com/fcas/cornac,200,2024-07-25T09:33:18Z,200,2026-07-17T18:40:10Z
DI-engine,https://github.com/opendilab/DI-engine,https://github.com/fcas/DI-engine,200,2024-07-25T09:34:11Z,200,2026-07-24T00:34:32Z
face_recognition,https://github.com/ageitgey/face_recognition,https://github.com/fcas/face_recognition,200,2024-07-18T09:35:54Z,200,2026-08-04T12:31:34Z
zipline,https://github.com/quantopian/zipline,https://github.com/fcas/zipline,200,2024-09-12T09:37:09Z,200,2026-07-22T12:32:06Z
detecto,https://github.com/alankbi/detecto,https://github.com/fcas/detecto,200,2024-07-18T09:39:04Z,200,2026-07-17T18:30:40Z
streamlit,https://github.com/streamlit/streamlit,https://github.com/fcas/streamlit,200,2024-11-14T09:36:42Z,200,2026-08-12T21:49:06Z
matplotlib,https://github.com/matplotlib/matplotlib,https://github.com/fcas/matplotlib,200,2025-12-25T09:43:17Z,200,2026-07-22T12:36:03Z
lifelines,https://github.com/CamDavidsonPilon/lifelines,https://github.com/fcas/lifelines,200,2024-07-25T09:33:38Z,200,
